submission_pk,User,Dice per case,Dice global,VOE,RVD,ASSD,MSD,RMSD,Precision at 50% overlap,Recall at 50% overlap,Precision at >0% overlap,Recall at >0% overlap
Exception parsing scores!
submission_pk,User,Dice per case,Dice global,VOE,RVD,ASSD,MSSD,MSSD
504947,schwein,0.9590 (10),0.9580 (14),0.078 (17),0.008 (52),1.604 (90),29.656 (92),3.639 (98),
482046,mantis_shrimp,0.9590 (10),0.9630 (9),0.078 (17),0.009 (53),1.330 (56),29.873 (94),3.078 (74),
481100,phil666,0.9590 (10),0.9620 (10),0.078 (17),0.024 (68),1.200 (39),26.482 (56),2.540 (40),
1035149,litslsy11,0.9580 (11),0.9640 (8),0.079 (18),0.022 (66),1.379 (58),27.894 (76),2.940 (66),
811801,jiangyuhan,0.9580 (11),0.9610 (11),0.080 (19),0.000 (44),2.658 (135),39.733 (123),6.677 (145),
528634,SMC_QMIA,0.9580 (11),0.9610 (11),0.079 (18),-0.023 (26),1.309 (53),26.643 (60),2.816 (58),
525305,suibian,0.9580 (11),0.9550 (17),0.079 (18),-0.014 (34),1.975 (112),44.848 (141),5.214 (129),
522860,qmia,0.9580 (11),0.9560 (16),0.081 (20),-0.029 (22),1.443 (70),26.201 (51),2.987 (69),
503923,huni1115,0.9580 (11),0.9610 (11),0.080 (19),-0.003 (41),1.261 (49),25.116 (36),2.651 (48),
510189,fight_seg,0.9580 (11),0.9620 (10),0.080 (19),-0.005 (39),1.395 (61),25.689 (44),2.745 (53),
503085,ichbinpig,0.9580 (11),0.9570 (15),0.079 (18),0.010 (54),1.621 (93),29.691 (93),3.659 (99),
498055,Annoybird,0.9580 (11),0.9620 (10),0.079 (18),-0.037 (18),1.298 (52),25.963 (49),2.697 (52),
470547,Yong,0.9580 (11),0.9620 (10),0.081 (20),0.030 (72),1.505 (80),43.123 (139),3.494 (92),
1133258,user1121,0.9570 (12),0.9600 (12),0.082 (21),0.017 (61),2.892 (142),91.420 (173),8.997 (162),
1066017,steven1,0.9570 (12),0.9600 (12),0.081 (20),0.000 (44),1.685 (98),41.772 (133),4.153 (118),
1058038,yuenting,0.9570 (12),0.9590 (13),0.082 (21),0.002 (46),1.705 (100),41.270 (130),4.302 (120),
1001075,xtqzcm,0.9570 (12),0.9550 (17),0.082 (21),-0.008 (36),1.849 (107),46.017 (142),5.096 (128),
805698,zyt0111,0.9570 (12),0.9560 (16),0.081 (20),0.016 (60),1.605 (91),32.871 (110),3.508 (94),
564859,moewie94,0.9570 (12),0.9580 (14),0.082 (21),0.018 (62),1.677 (97),47.497 (145),4.251 (119),
535329,nauxuil,0.9570 (12),0.9640 (8),0.081 (20),-0.003 (41),1.392 (59),26.862 (66),3.078 (74),
499301,wgnb,0.9570 (12),0.9560 (16),0.081 (20),0.012 (56),1.657 (96),30.064 (95),3.749 (103),
480712,BriceRauby,0.9570 (12),0.9600 (12),0.083 (22),0.015 (59),1.186 (37),23.729 (21),2.308 (25),
469137,maikun,0.9570 (12),0.9600 (12),0.082 (21),0.022 (66),1.423 (65),26.393 (55),2.933 (65),
1127990,lbzeng,0.9560 (13),0.9580 (14),0.084 (23),0.009 (53),1.565 (83),31.129 (101),3.486 (91),
1050296,wanli123,0.9560 (13),0.9590 (13),0.084 (23),0.014 (58),1.743 (102),49.280 (150),4.376 (123),
986622,Sworden,0.9560 (13),0.9580 (14),0.083 (22),0.020 (64),3.923 (166),110.116 (181),9.879 (170),
591340,zengziyang,0.9560 (13),0.9560 (16),0.083 (22),0.007 (51),2.383 (124),53.519 (152),6.331 (138),
566100,a7777777,0.9560 (13),0.9560 (16),0.082 (21),0.016 (60),1.648 (95),29.532 (91),3.610 (96),
461276,Njust768,0.9560 (13),0.9570 (15),0.084 (23),-0.017 (31),1.418 (63),26.937 (67),2.946 (68),
1015490,IPVS,0.9550 (14),0.9510 (21),0.084 (23),0.008 (52),2.803 (140),168.667 (198),10.192 (173),
991527,stbk96,0.9550 (14),0.9570 (15),0.086 (25),0.009 (53),1.440 (69),26.552 (58),2.933 (65),
756175,dfbbdfbbdf,0.9550 (14),0.9600 (12),0.084 (23),0.017 (61),1.398 (62),26.228 (52),2.907 (63),
721949,lxqlxqlxq,0.9550 (14),0.9580 (14),0.085 (24),0.009 (53),1.553 (82),28.758 (84),3.309 (85),
513577,wgznb,0.9550 (14),0.9550 (17),0.083 (22),0.020 (64),1.601 (88),28.396 (80),3.433 (89),
495631,Karo,0.9550 (14),0.9600 (12),0.085 (24),0.034 (75),1.424 (66),29.186 (86),3.164 (80),
462599,kikikirai,0.9550 (14),0.9590 (13),0.086 (25),-0.029 (22),2.542 (127),125.725 (187),8.714 (159),
1119701,GraylightImaging,0.9540 (15),0.9630 (9),0.086 (25),-0.040 (17),2.643 (132),58.132 (154),6.882 (146),
868391,Shrijeet162,0.9540 (15),0.9570 (15),0.088 (27),0.022 (66),2.918 (143),104.726 (177),8.639 (158),
838029,issnus,0.9540 (15),0.9580 (14),0.086 (25),0.023 (67),2.645 (133),80.874 (167),8.205 (155),
673539,Zhang123,0.9540 (15),0.9540 (18),0.087 (26),-0.019 (29),1.446 (71),24.717 (33),2.836 (59),
627049,willy3364,0.9540 (15),0.9540 (18),0.087 (26),0.018 (62),1.362 (57),26.333 (54),2.776 (56),
490366,Neymo,0.9540 (15),0.9580 (14),0.086 (25),-0.009 (35),1.612 (92),31.000 (99),3.716 (102),
1014066,susu-zc,0.9530 (16),0.9560 (16),0.090 (29),0.015 (59),2.525 (126),40.788 (128),5.545 (133),
