submission_pk,User,ARI
736648,Artem_Vazhentsev,0.9095 (1),
739337,MironKuznetsov,0.8956 (2),
739295,alexbelov,0.8204 (3),
737734,alexalexalex,0.6426 (4),
737821,eugeneavd,0.5611 (5),
736980,dementyeva_ds,0.5275 (6),
739165,anevarko,0.5257 (7),
737792,davypiraylenko,0.4937 (8),
736387,palette_knife25,0.4622 (9),
737527,gabriel_r,0.3026 (10),
737643,vanessa,0.2957 (11),
739366,alexeygb,0.1322 (12),
737750,kmisterios,0.0097 (13),
738667,NLPuser,0.0005 (14),
