submission_pk,User,EM,F1
960517,helicopter,37.35 (1),43.11 (1),
1080795,iidrv,36.38 (2),41.90 (2),
957565,DREAM,32.48 (3),38.42 (3),
721884,wenhu,10.10 (4),12.54 (4),
