submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
934888,NK_ZZL,19.7032 (1),0.7233 (1),1.0000 (10),0.0 (2),1.0 (1),
837174,HaoqiangYang,19.3558 (2),0.7175 (2),2.8867 (5),0.0 (2),1.0 (1),
837171,aics,19.1026 (3),0.7069 (4),2.8883 (4),0.0 (2),1.0 (1),
834722,jimmy3505090,18.2937 (9),0.7069 (5),2.1227 (6),0.0 (2),1.0 (1),
833309,sabarinathan,18.2991 (8),0.5744 (21),1.0000 (10),1.0 (1),1.0 (1),
830354,MDSWYZ,17.8577 (11),0.6547 (12),0.9000 (11),0.0 (2),1.0 (1),
837557,souryadipta,16.6525 (20),0.6598 (10),0.0029 (18),1.0 (1),0.0 (2),
837124,lifu,19.0048 (4),0.7104 (3),0.5000 (13),0.0 (2),0.0 (2),
836132,tongtong,16.4796 (21),0.6267 (18),13.0000 (2),0.0 (2),0.0 (2),
834922,auy200,18.4492 (6),0.6937 (6),0.4100 (14),0.0 (2),0.0 (2),
834389,usuitakumi,17.4065 (14),0.6250 (19),1.0000 (10),0.0 (2),0.0 (2),
831482,Daryl_Loyck,14.5156 (24),0.4928 (23),0.0200 (17),0.0 (2),0.0 (2),
819815,DeepBlueAI,18.4800 (5),0.6757 (8),0.4100 (14),0.0 (2),0.0 (2),
811970,LiChaoNan,16.0761 (23),0.4562 (24),0.2600 (15),0.0 (2),0.0 (2),
806775,limwangkai,16.6708 (19),0.6597 (11),1.3300 (8),0.0 (2),0.0 (2),
786515,r08943148,16.6980 (18),0.6419 (16),10.4300 (3),1.0 (1),0.0 (2),
785832,dingbs,17.5983 (12),0.6275 (17),1.3000 (9),0.0 (2),0.0 (2),
779432,fzy,17.4549 (13),0.6470 (14),0.0800 (16),0.0 (2),0.0 (2),
776779,vinthony,17.9144 (10),0.6775 (7),0.0200 (17),0.0 (2),0.0 (2),
774447,lintianwei,17.3660 (15),0.6637 (9),0.5000 (13),0.0 (2),0.0 (2),
774196,yuyang,13.8565 (25),0.2079 (26),0.5732 (12),1.0 (1),0.0 (2),
772487,Huayu_Li,16.7742 (17),0.6469 (15),2.0800 (7),0.0 (2),0.0 (2),
763983,zrfan,16.4247 (22),0.6513 (13),123.4500 (1),1.0 (1),0.0 (2),
831440,priyakansal,18.3159 (7),0.5691 (22),-1.0000 (19),-1.0 (3),-1.0 (3),
811987,harutatsu_akiyama,16.4247 (22),0.6513 (13),-1.0000 (19),-1.0 (3),-1.0 (3),
808817,Lillian1082,17.0856 (16),0.5974 (20),-1.0000 (19),-1.0 (3),-1.0 (3),
768338,debut_kele,12.7326 (26),0.3666 (25),-1.0000 (19),-1.0 (3),-1.0 (3),
