submission_pk,User,RMSE,RMSE@10,RMSE@20,RMSE@30,RMSE@40
829351,William_yan,0.57471 (63),0.98616 (19),0.83064 (26),0.72266 (34),0.64004 (44),
786934,joe_stacey,0.57471 (63),0.98616 (19),0.83064 (26),0.72266 (34),0.64004 (44),
677265,juliaive,0.57471 (63),0.98616 (19),0.83064 (26),0.72266 (34),0.64004 (44),
657794,RasalasJau,0.57471 (63),0.98616 (19),0.83064 (26),0.72266 (34),0.64004 (44),
571065,yanghaocsg,0.57471 (63),0.98616 (19),0.83064 (26),0.72266 (34),0.64004 (44),
687334,APOCALYPSE,0.57514 (64),0.98520 (24),0.83031 (30),0.72259 (35),0.64028 (40),
687524,HuangTao,0.57514 (65),0.98520 (25),0.83030 (31),0.72259 (36),0.64028 (41),
684051,Rick1984,0.57538 (66),0.98702 (16),0.83162 (25),0.72361 (29),0.64078 (38),
681733,Babyyang525,0.57556 (67),0.96727 (50),0.81937 (52),0.71579 (53),0.63721 (50),
680323,Bryce,0.57568 (68),0.98375 (28),0.82956 (34),0.72297 (33),0.64051 (39),
687044,Trigger,0.57596 (69),0.98609 (20),0.83052 (28),0.72300 (31),0.64083 (37),
679204,Michaelmatao,0.57616 (70),0.98070 (34),0.82787 (41),0.72111 (42),0.64014 (43),
658810,shallowZzz,0.57657 (71),0.97629 (44),0.82531 (43),0.72080 (45),0.64026 (42),
680262,Faye-Wu,0.57661 (72),0.98696 (17),0.83225 (21),0.72445 (28),0.64190 (34),
639546,Snow_MingXueLiu,0.57682 (73),0.98933 (15),0.83208 (23),0.72462 (27),0.64207 (32),
656772,nopeAAA,0.57786 (74),0.98011 (35),0.82774 (42),0.72212 (40),0.64151 (35),
814450,zyz208,0.57800 (75),0.98172 (32),0.82891 (35),0.72298 (32),0.64198 (33),
817388,ik517,0.57927 (76),0.97561 (46),0.82489 (44),0.71967 (47),0.64125 (36),
814402,jfeitz,0.58052 (77),0.99901 (14),0.84078 (17),0.73096 (23),0.64691 (28),
687469,Ganmin-Wu,0.58064 (78),0.97899 (37),0.82790 (40),0.72328 (30),0.64353 (30),
817080,xc220,0.58229 (79),0.97106 (49),0.82447 (45),0.72127 (41),0.64324 (31),
815810,JM_,0.58526 (80),0.98220 (31),0.83172 (24),0.72770 (24),0.64817 (26),
816145,wang007123,0.58633 (81),0.97672 (40),0.82790 (39),0.72586 (26),0.64777 (27),
680236,FangzhouSun,0.58694 (82),0.97905 (36),0.83018 (33),0.72725 (25),0.64865 (25),
646951,hokyeejau,0.58945 (83),0.98461 (26),0.83951 (18),0.73426 (19),0.65327 (22),
640265,Murphy-MIAOYuanzhi,0.59155 (84),1.00096 (13),0.84610 (16),0.73657 (16),0.65500 (21),
683250,Cassiel,0.59461 (85),0.96374 (51),0.81943 (51),0.72090 (44),0.64907 (24),
655756,arunaav,0.59512 (86),0.97886 (38),0.83249 (20),0.73160 (21),0.65514 (20),
815466,GeorgePereteanu,0.59739 (87),0.97320 (47),0.82828 (37),0.73097 (22),0.65559 (19),
685844,ChenMeng,0.59891 (88),0.98086 (33),0.83208 (22),0.73294 (20),0.65824 (18),
677319,JacobHongbo,0.59969 (89),0.97779 (39),0.83502 (19),0.73511 (18),0.65955 (17),
680142,shengwei_wang,0.59996 (90),0.95507 (56),0.81579 (54),0.71833 (48),0.65307 (23),
649578,hokyeejau2,0.60146 (91),1.00477 (10),0.85479 (12),0.74766 (15),0.66606 (16),
659009,jam,0.61179 (92),0.82621 (97),0.73869 (81),0.68470 (65),0.64386 (29),
647145,Murphy-MIAO-YuanZhi,0.62330 (93),1.00232 (12),0.85918 (11),0.75315 (14),0.67931 (14),
813241,yw720,0.62513 (94),0.95272 (58),0.82300 (49),0.73589 (17),0.67255 (15),
838170,yyh13231728895,0.64131 (95),0.98568 (22),0.84870 (15),0.75796 (13),0.69435 (13),
576532,uir,0.64780 (96),0.98412 (27),0.84915 (14),0.76068 (12),0.69738 (12),
