submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
655191,ms_ipcv,20.0529 (14),0.6872 (14),1.2300 (9),0.0 (2),1.0 (1),
654952,Mengmengbai,26.6520 (4),0.8542 (8),0.4606 (13),0.0 (2),1.0 (1),
653497,taeohkim,27.1693 (2),0.8693 (4),1.7635 (7),0.0 (2),1.0 (1),
646051,c.chen,26.0316 (9),0.8493 (10),108.0000 (1),1.0 (1),1.0 (1),
653397,AiriaBeijingTeam,25.9154 (10),0.8551 (6),-1.0000 (15),0.0 (2),0.0 (2),
653327,leven,26.5275 (5),0.8407 (11),6.8230 (2),0.0 (2),0.0 (2),
653230,S.H.I.E.L.D.,25.9154 (10),0.8551 (6),2.0000 (6),0.0 (2),0.0 (2),
652723,haopengni,25.7273 (11),0.8533 (9),2.0000 (6),0.0 (2),0.0 (2),
651473,cmsp-ct,26.2684 (7),0.8235 (13),6.7630 (3),0.0 (2),0.0 (2),
649591,tongtong,13.9304 (16),0.4698 (17),0.0100 (14),1.0 (1),0.0 (2),
648086,Pranjal,10.3232 (18),0.3376 (18),2.1200 (5),0.0 (2),0.0 (2),
647304,cvip_sayednadim,26.2146 (8),0.8558 (5),0.6700 (11),0.0 (2),0.0 (2),
644421,zheng222,26.2876 (6),0.8695 (3),0.5000 (12),0.0 (2),0.0 (2),
643973,BossGao,27.7386 (1),0.8763 (1),5.0000 (4),1.0 (1),0.0 (2),
634505,Schoolyellow,19.6061 (15),0.6511 (16),1.4300 (8),0.0 (2),0.0 (2),
634274,WeijianZeng,25.3134 (12),0.8549 (7),1.0000 (10),0.0 (2),0.0 (2),
646055,ir1d,26.8924 (3),0.8718 (2),-1.0000 (15),-1.0 (3),-1.0 (3),
645255,de,24.1053 (13),0.8353 (12),-1.0000 (15),-1.0 (3),-1.0 (3),
623287,Radu,11.4831 (17),0.6556 (15),-1.0000 (15),-1.0 (3),-1.0 (3),
