submission_pk,User,score,Computation time
642585,shhong,75.72 (1),812.49 (47),
642588,zenghsh3,66.21 (2),1406.45 (50),
739054,lulu2018,48.62 (3),1797.60 (51),
642591,yzm_test,48.62 (4),1233.08 (48),
642455,CHWYT,27.78 (5),1.76 (14),
642463,ArtificialStupid,27.47 (6),1.61 (12),
641120,xinzhixu,26.60 (7),1322.02 (49),
641125,djmax008,26.19 (8),495.12 (44),
641117,mod-jid2020,26.05 (9),483.91 (43),
739102,amarot,25.76 (10),0.67 (11),
642724,anonymity,25.76 (11),0.25 (10),
642293,HJX,25.76 (11),10.69 (18),
642723,Echo-Huang,20.39 (12),227.54 (40),
642298,UESTC,20.39 (12),228.58 (41),
631821,charliedhw_s,17.98 (13),116.43 (35),
642425,KUMA,13.85 (14),1.76 (13),
641118,SEU_PSA,13.75 (15),9.70 (17),
642921,lujx,4.31 (16),96.56 (30),
642780,lujixiang,4.31 (16),92.23 (29),
642022,daisy123,0.07 (17),118.58 (36),
642583,UNCC,0.00 (18),0.18 (9),
642581,wuang,0.00 (18),19.03 (19),
642088,Kwazii,0.00 (18),29.83 (21),
641134,rgultom,0.00 (18),0.17 (7),
641131,xuzhiqi,0.00 (18),0.16 (2),
641127,joeljosephjin,0.00 (18),0.16 (4),
641133,BDonnot,0.00 (18),0.16 (5),
641116,tagore,0.00 (18),0.17 (8),
631769,tonyjoins,0.00 (18),84.37 (28),
627467,student,0.00 (18),0.16 (6),
625293,zhuozy17,0.00 (18),0.16 (3),
642587,TonyS,-0.00 (19),2.81 (15),
642584,ENLITEN,-0.11 (20),22.48 (20),
642586,JZGroupAI,-0.36 (21),623.72 (45),
642025,gaome,-1.74 (22),113.05 (34),
642297,wuangwang,-2.50 (23),64.62 (25),
628589,sazhao,-2.85 (24),170.71 (38),
642590,wjtang,-7.77 (25),62.06 (24),
642027,sgcc_gyc,-8.42 (26),109.20 (33),
641113,zz2718,-17.18 (27),683.06 (46),
642582,chr6192,-17.56 (28),142.88 (37),
641123,Edison,-19.65 (29),106.82 (32),
642024,lujasone,-20.45 (30),53.18 (23),
633460,kd_fzjc,-21.62 (31),83.59 (27),
642015,kang,-23.92 (32),65.59 (26),
642589,ritou11,-27.43 (33),268.68 (42),
642021,pysong,-28.12 (34),103.79 (31),
641106,tswsxk,-40.64 (35),44.30 (22),
641114,AlteredFrank,-46.52 (36),202.09 (39),
642725,ShadowGrid,-65.90 (37),3.41 (16),
643082,ydyd,-100.00 (38),0.00 (1),
641124,TBSIer,-100.00 (38),0.00 (1),
631430,chentianyu,-100.00 (38),0.00 (1),
