submission_pk,User,Mean Accuracy,Std Accuracy,Accuracy - Reported 5-fold CV,Mean AUC,Std AUC,AUC - Reported 5-fold CV
8471,roberto.bellotti,0.680 (1),0.047 (50),0.660 (29),0.700 (2),0.053 (26),0.729 (21),
7921,matthieu.le,0.670 (2),0.047 (49),0.807 (3),0.689 (5),0.053 (25),0.877 (3),
7661,onyme.anne,0.660 (3),0.047 (48),0.730 (12),0.660 (13),0.055 (20),0.810 (7),
8191,schreibensieruhig,0.650 (4),0.048 (44),0.710 (17),0.650 (16),0.044 (47),0.760 (9),
7471,ender.konukoglu,0.650 (5),0.048 (47),0.650 (33),0.678 (7),0.053 (24),0.690 (34),
7241,547901203,0.641 (6),0.048 (46),0.720 (15),0.641 (18),0.047 (45),0.717 (27),
7841,maglietta,0.640 (7),0.048 (43),0.680 (24),0.706 (1),0.052 (29),0.725 (23),
8601,sluo1,0.639 (8),0.048 (42),0.923 (1),0.640 (20),0.039 (48),0.977 (1),
7681,nicolas.cordier,0.631 (9),0.048 (40),0.690 (22),0.650 (17),0.056 (14),0.710 (29),
7151,jonathan.young,0.620 (10),0.049 (33),0.653 (31),0.692 (4),0.050 (33),0.653 (44),
7251,453783508,0.620 (11),0.049 (32),0.720 (15),0.620 (24),0.049 (39),0.717 (27),
8051,robben.david,0.620 (12),0.049 (35),0.633 (35),0.674 (9),0.054 (22),0.686 (36),
8801,m.goetz,0.620 (13),0.049 (34),0.693 (20),0.640 (21),0.056 (13),0.748 (14),
7581,sliu4512,0.620 (14),0.048 (45),0.807 (4),0.673 (10),0.052 (28),0.817 (6),
7271,203091484,0.619 (15),0.049 (37),0.767 (6),0.619 (25),0.049 (40),0.767 (8),
7261,sadoii,0.610 (16),0.049 (39),0.720 (15),0.610 (28),0.048 (43),0.722 (24),
7371,virgile.fritsch+mlc2014_3,0.601 (17),0.049 (31),0.747 (10),0.658 (14),0.055 (19),0.747 (15),
8041,robbendavid,0.600 (18),0.049 (36),0.633 (35),0.699 (3),0.052 (30),0.706 (33),
7221,weiyi1991,0.600 (19),0.049 (29),0.767 (6),0.600 (29),0.049 (36),0.767 (8),
7291,1058049527,0.600 (20),0.049 (30),0.720 (15),0.600 (30),0.049 (38),0.718 (26),
8881,hungway.lee,0.599 (21),0.049 (38),0.713 (16),0.599 (31),0.049 (41),0.713 (28),
8841,hyshen,0.599 (22),0.048 (41),0.690 (22),0.672 (11),0.054 (21),0.660 (42),
7361,virgile.fritsch+mlc2014_2,0.590 (23),0.049 (24),0.727 (14),0.680 (6),0.054 (23),0.756 (10),
8201,amtorteya,0.581 (24),0.049 (28),0.760 (7),0.581 (34),0.049 (37),0.760 (9),
8211,a_m_torteya,0.580 (25),0.050 (19),0.727 (13),0.580 (35),0.049 (34),0.727 (22),
8121,jose.cpadilla,0.570 (26),0.050 (13),0.767 (6),0.570 (36),0.050 (32),0.767 (8),
7281,congjinyu1231,0.570 (27),0.050 (16),0.747 (9),0.570 (37),0.048 (44),0.749 (12),
7671,wakamo,0.570 (28),0.049 (23),0.790 (5),0.611 (27),0.056 (11),0.850 (5),
8591,alexandermendelson,0.561 (29),0.050 (17),0.667 (28),0.485 (48),0.060 (1),0.680 (38),
7821,andrea.tateo,0.560 (30),0.049 (27),0.673 (27),0.589 (32),0.057 (9),0.710 (30),
8181,joseh85102,0.560 (31),0.049 (26),0.687 (23),0.560 (38),0.049 (35),0.687 (35),
7341,virgile.fritsch,0.550 (32),0.050 (20),0.680 (24),0.497 (47),0.059 (5),0.709 (32),
7831,paolo.ingls,0.540 (33),0.049 (21),0.680 (24),0.640 (19),0.055 (17),0.733 (19),
7891,sonia.tangaro2,0.540 (34),0.050 (9),0.693 (21),0.634 (22),0.056 (12),0.745 (16),
7481,leonardo.iheme2,0.531 (35),0.050 (18),0.755 (8),0.530 (43),0.031 (50),0.867 (4),
8421,matthew.blaschko,0.530 (36),0.050 (8),0.633 (36),0.621 (23),0.058 (6),0.684 (37),
8441,rosangela.errico,0.520 (37),0.050 (12),0.660 (29),0.656 (15),0.055 (15),0.739 (18),
7791,nicola.amoroso,0.520 (38),0.050 (3),0.687 (23),0.674 (8),0.055 (16),0.755 (11),
8611,luohuilan,0.520 (39),0.050 (15),0.679 (25),0.616 (26),0.052 (27),0.744 (17),
8231,a00789505,0.520 (40),0.050 (5),0.628 (37),0.541 (42),0.059 (3),0.668 (40),
8241,a00811434,0.511 (41),0.049 (22),0.644 (34),0.545 (41),0.058 (7),0.679 (39),
8461,alfonso.monaco,0.500 (42),0.050 (2),0.651 (32),0.668 (12),0.055 (18),0.709 (31),
7231,sd.ve91,0.500 (43),0.050 (14),0.659 (30),0.500 (44),0.037 (49),0.655 (43),
3381,msabuncu,0.500 (44),0.050 (11),0.700 (19),0.587 (33),0.057 (8),0.600 (46),
8631,simon.duchesne,0.499 (45),0.050 (10),0.853 (2),0.499 (45),0.045 (46),0.943 (2),
7401,david.robben,0.499 (46),0.050 (7),0.673 (26),0.548 (40),0.059 (4),0.719 (25),
7301,407223471,0.499 (47),0.050 (1),0.733 (11),0.499 (46),0.048 (42),0.731 (20),
7491,leonardo.iheme,0.480 (48),0.050 (4),0.607 (38),0.480 (49),0.051 (31),0.667 (41),
7381,melanie.ganz,0.470 (49),0.050 (6),0.707 (18),0.557 (39),0.060 (2),0.748 (13),
7601,phenriquezcastellano,0.460 (50),0.049 (25),0.604 (39),0.414 (50),0.057 (10),0.604 (45),
7451,alexander.mendelson.11,-100.000 (51),-100.000 (51),-100.000 (40),-100.000 (51),-100.000 (51),-100.000 (47),
7811,sonia.tangaro,-100.000 (51),-100.000 (51),0.693 (21),-100.000 (51),-100.000 (51),0.745 (16),
8101,alexander.meson,-100.000 (51),-100.000 (51),-100.000 (40),-100.000 (51),-100.000 (51),-100.000 (47),
8151,joseh8510,-100.000 (51),-100.000 (51),-100.000 (40),-100.000 (51),-100.000 (51),-100.000 (47),
