submission_pk,User,Accuracy,Precision,Recall,F1-score
433137,usmanahmed189,0.9844 (1),0.9774 (1),0.9693 (1),0.9733 (1),
434971,rangwani_harsh,0.7285 (2),0.7738 (2),0.4844 (2),0.5016 (2),
434130,cyvhee,0.5488 (5),0.3668 (5),0.4773 (3),0.4039 (3),
434207,chee,0.5488 (5),0.3668 (5),0.4773 (3),0.4039 (3),
434837,eddearden,0.6184 (3),0.4499 (3),0.3717 (4),0.3692 (4),
434900,epochx,0.6064 (4),0.4359 (4),0.3540 (5),0.3470 (5),
435041,jayanth,0.2000 (6),0.1000 (6),0.1250 (6),0.1111 (6),
