submission_pk,User,CIDEr,Bleu-1,Bleu-2,Bleu-3,Bleu-4,METEOR,ROUGE-L
972653,TKD-AI,0.86 (1),0.83 (2),0.68 (2),0.54 (2),0.41 (2),0.27 (1),0.54 (1),
669532,forence,0.82 (2),0.83 (1),0.69 (1),0.54 (1),0.41 (1),0.26 (2),0.54 (2),
939730,huan1234567,0.55 (3),0.74 (9),0.56 (9),0.40 (9),0.27 (11),0.21 (10),0.47 (9),
819867,ybPKU,0.54 (4),0.75 (5),0.59 (4),0.45 (3),0.33 (3),0.23 (3),0.50 (3),
910080,fighting,0.54 (5),0.75 (6),0.58 (6),0.44 (6),0.32 (6),0.23 (5),0.49 (7),
906030,mmc_unia,0.54 (6),0.76 (3),0.59 (3),0.45 (5),0.33 (5),0.23 (6),0.49 (4),
953452,B09010131,0.51 (7),0.75 (4),0.58 (5),0.45 (4),0.33 (4),0.23 (7),0.49 (5),
626720,BNU-WU,0.50 (8),0.75 (7),0.57 (8),0.43 (8),0.31 (8),0.23 (4),0.49 (6),
691824,uestc_ly,0.48 (9),0.75 (8),0.57 (7),0.44 (7),0.32 (7),0.22 (8),0.48 (8),
597854,cyril1994,0.43 (10),0.71 (12),0.53 (11),0.39 (11),0.28 (10),0.22 (9),0.47 (11),
626765,acdart,0.42 (11),0.71 (10),0.53 (10),0.39 (10),0.28 (9),0.21 (11),0.47 (10),
694524,DJCan,0.40 (12),0.71 (11),0.53 (12),0.39 (12),0.27 (12),0.21 (12),0.46 (12),
617097,Alok_singh,0.24 (13),0.63 (13),0.43 (13),0.30 (13),0.20 (13),0.18 (13),0.42 (13),
1132563,QiDian,0.22 (14),0.61 (14),0.41 (14),0.25 (14),0.16 (14),0.17 (14),0.39 (14),
