submission_pk,User,mAP
872583,TAL-ai,0.7489 (1),
872666,DeepBlueAI,0.7169 (2),
871963,TSM-Image,0.7148 (3),
871902,GOOOODNIGHT,0.7039 (4),
872567,zqcraft,0.6971 (5),
872539,mumu1239824,0.6970 (6),
872678,HartonWu,0.6944 (7),
872167,XiaoQiuQiu,0.6941 (8),
872324,gx123,0.6933 (9),
871947,lovesnowbest,0.6920 (10),
871817,Singularity213,0.6919 (11),
872430,LYLove,0.6890 (12),
872535,HarryPotter,0.6877 (13),
872379,qqqlalala123,0.6850 (14),
872347,deepnight,0.6838 (15),
872133,Tong,0.6837 (16),
871592,duanyanwuping,0.6765 (17),
872030,Kaggle,0.6735 (18),
871944,lalala123,0.6732 (19),
872608,Klawens,0.6649 (20),
872174,gujingxiao,0.6304 (21),
871896,djdllmj,0.6290 (22),
871982,ustc-nelslip,0.6085 (23),
872092,um,0.6067 (24),
871989,haoxl,0.6057 (25),
872581,qqq123,0.6009 (26),
871879,Captain_x,0.5937 (27),
871839,bestone,0.5913 (28),
871876,YSTBER,0.5840 (29),
871834,ai,0.5739 (30),
872470,tum-in-chair6,0.5608 (31),
872316,Densen,0.5459 (32),
872682,Alice01010101,0.5345 (33),
872691,zhouliguo,0.5104 (34),
872099,wushang,0.4803 (35),
871590,chair6,0.4796 (36),
872362,Jhilik,0.4558 (37),
872202,DU-CASIOT-UM,0.4249 (38),
867248,flyywh,0.4023 (39),
872149,QXChen,0.3645 (40),
872058,bug_maker,0.3464 (41),
872308,SaagaraMB,0.2370 (42),
