submission_pk,User,SCORE,MSVD,DiDeMo,ActivityNet,MSRVTT,YouCook2
613941,haoxiaoshuai,1627.12 (1),72.16 (1),30.07 (2),59.48 (2),49.12 (2),24.28 (1),
612155,MMT,1536.70 (2),65.81 (2),30.31 (1),61.07 (1),49.32 (1),22.33 (2),
613482,bigfish,1257.32 (3),64.30 (4),24.44 (3),53.47 (3),35.54 (3),20.61 (3),
594953,vgg,1250.00 (4),64.57 (3),24.43 (4),53.08 (4),35.39 (4),19.68 (4),
