submission_pk,User,Accuracy
861728,gusenica,88.7240 (1),
867618,dkorzh10,87.8280 (2),
868251,Daniil_Moskovskiy,87.8160 (3),
867779,Allessyer,87.2880 (4),
862725,mariya,87.1560 (5),
865030,underdog,86.6280 (6),
867372,andreead,86.5920 (7),
868847,ekovtun,86.4920 (8),
873068,ag3r,86.2040 (9),
868835,queen_s0,85.5560 (10),
867561,player42,85.5160 (11),
867635,timotei.ardelean,85.2880 (12),
868274,daleshch,84.4320 (13),
870993,eplumite,83.8320 (14),
867540,Artem_Vazhentsev,82.8160 (15),
865832,Glebzok,82.6160 (16),
868989,truepg,81.7840 (17),
896245,matveymor,81.1720 (18),
868517,annakey,81.1720 (18),
866749,NEEEK,78.4920 (19),
869021,eugeneavd,78.4480 (20),
867660,gabriel_r,77.4880 (21),
868285,maxs_kan,76.3880 (22),
867426,kmisterios,73.6240 (23),
866715,ruslan_alive,73.2320 (24),
893226,A_a,72.5080 (25),
862516,palette_knife25,70.2520 (26),
850291,lilaspourpre,50.2600 (27),
867026,vvshu,29.4600 (28),
