submission_pk,User,Pearson r,MAE,RMSE
653130,ybaek,0.5730 (1),15.6105 (1),23.3265 (1),
652423,Gogo2020,0.4892 (2),20.2213 (4),24.5976 (2),
651054,Joao1996,0.4746 (3),17.1267 (2),25.5304 (4),
650845,NiuTrans,0.4460 (4),22.3118 (5),25.1836 (3),
642991,erickrf,0.3892 (5),19.9394 (3),26.6080 (5),
