submission_pk,User,BLEU-1,BLEU-2,BLEU-3,BLEU-4,METEOR,ROUGE-L,CIDEr-D
415706,ElTanque,0.134 (7),0.040 (5),0.015 (4),0.007 (3),0.055 (9),0.139 (8),0.110 (1),
420166,danieljf24,0.168 (1),0.054 (1),0.023 (1),0.011 (1),0.070 (5),0.160 (2),0.107 (2),
387635,arohrbach,0.163 (2),0.053 (2),0.020 (2),0.009 (2),0.070 (4),0.161 (1),0.106 (3),
92691,s2vt,0.162 (3),0.051 (3),0.017 (3),0.007 (4),0.070 (2),0.157 (4),0.088 (4),
416299,YueHu,0.113 (10),0.031 (9),0.008 (10),0.003 (10),0.061 (7),0.159 (3),0.077 (5),
417879,phyllis,0.155 (4),0.040 (6),0.012 (7),0.004 (7),0.065 (6),0.156 (5),0.076 (6),
387280,cvpr17-601,0.135 (6),0.038 (7),0.013 (6),0.006 (5),0.056 (8),0.150 (7),0.076 (7),
321631,sophieag,0.151 (5),0.047 (4),0.013 (5),0.005 (6),0.075 (1),0.152 (6),0.072 (8),
415554,yj,0.100 (11),0.027 (10),0.009 (9),0.003 (9),0.042 (11),0.116 (10),0.070 (9),
420479,DL-61-86-WA,0.087 (12),0.021 (12),0.006 (12),0.002 (12),0.038 (12),0.078 (12),0.054 (10),
93071,rakshithShetty,0.119 (8),0.024 (11),0.007 (11),0.003 (11),0.046 (10),0.108 (11),0.044 (11),
326041,ayush11011995,0.116 (9),0.032 (8),0.011 (8),0.004 (8),0.070 (3),0.138 (9),0.042 (12),
323801,frcnnBigger,0.070 (13),0.017 (13),0.005 (13),0.002 (13),0.033 (13),0.069 (13),0.037 (13),
