submission_pk,User,vpq_all,vpq_thing,vpq_stuff
899265,hongzhen,55.83 (1),43.49 (2),63.69 (1),
912595,andra,55.92 (2),38.64 (1),66.91 (5),
1022948,lxtbupt,56.44 (3),44.42 (3),64.09 (2),
1006338,dhkim,57.38 (4),45.79 (4),64.76 (3),
764668,rpreda13,57.50 (5),46.09 (5),64.76 (3),
832452,skywalker666666,57.70 (6),46.62 (6),64.76 (3),
1020326,AndrewGao,58.09 (7),47.55 (7),64.80 (4),
1025316,WeicaiYe,58.39 (8),48.39 (8),64.76 (3),
1025930,XinyueLan,58.41 (9),48.43 (9),64.76 (3),
735385,ViP-DeepLab,62.47 (10),50.16 (10),70.31 (6),
