submission_pk,User,mIoU,weight IoU,VC8,VC16
951766,HaoWang9610,0.5984 (1),0.7307 (1),0.9451 (1),0.9222 (1),
952169,zyxu,0.5925 (2),0.7275 (2),0.9434 (2),0.9219 (2),
941623,jjRain,0.5858 (3),0.7249 (3),0.9411 (3),0.9168 (3),
952683,BetterThing,0.5806 (4),0.7205 (6),0.9325 (5),0.9053 (5),
952569,zoujh,0.5793 (5),0.7206 (5),0.9363 (4),0.9104 (4),
950976,CharlesBLWX,0.5738 (6),0.7210 (4),0.9046 (7),0.8669 (9),
948408,charlesbyte,0.5553 (7),0.7052 (9),0.8982 (11),0.8608 (11),
952089,ustcvim,0.5497 (8),0.7188 (7),0.9017 (8),0.8674 (8),
940736,Arlen,0.5477 (9),0.6991 (10),0.9127 (6),0.8825 (6),
950358,dajiujia,0.5399 (10),0.7121 (8),0.8999 (9),0.8651 (10),
951899,qjd,0.5299 (11),0.6837 (12),0.8912 (12),0.8556 (12),
948827,AaronZ,0.5242 (12),0.6882 (11),0.8988 (10),0.8682 (7),
947959,lengyu.yb,0.4889 (13),0.6754 (13),0.8851 (13),0.8461 (13),
937208,abcdvzzha,0.4466 (14),0.6546 (14),0.8606 (15),0.8207 (15),
937661,XiCHEN,0.4073 (15),0.6207 (15),0.8499 (16),0.7960 (17),
926859,yanga,0.3594 (16),0.6014 (16),0.8682 (14),0.8209 (14),
926953,xiaohu,0.3593 (17),0.5937 (17),0.8141 (23),0.7563 (23),
924050,huangyx,0.3482 (18),0.5773 (20),0.8461 (17),0.7986 (16),
924260,gxh,0.3472 (19),0.5911 (18),0.8210 (22),0.7627 (22),
924039,Jbaseline1,0.3465 (20),0.5888 (19),0.8337 (21),0.7806 (20),
919017,DeepBlueAI,0.3313 (21),0.5726 (21),0.8374 (19),0.7842 (18),
917288,RAnsel,0.3236 (22),0.5655 (22),0.8395 (18),0.7835 (19),
949774,zoodaisy,0.3215 (23),0.5592 (23),0.8054 (25),0.7449 (25),
938524,jwzds,0.3215 (23),0.5592 (23),0.8054 (25),0.7449 (25),
929546,Marco_JR,0.3215 (23),0.5592 (23),0.8054 (25),0.7449 (25),
914227,CJJ,0.3215 (23),0.5592 (23),0.8054 (25),0.7449 (25),
911132,lixuan,0.3215 (23),0.5592 (23),0.8054 (25),0.7449 (25),
931085,Emolly,0.2971 (24),0.5285 (24),0.8021 (26),0.7393 (26),
929556,solitaryking,0.2565 (25),0.5201 (25),0.8099 (24),0.7476 (24),
929861,lufeihuang,0.1991 (26),0.4571 (26),0.8353 (20),0.7746 (21),
