submission_pk,User,BLEU
380962,Anonymous,1.0000 (1),
377592,Anonymous,0.2885 (2),
381158,Anonymous,0.2034 (3),
377591,Anonymous,0.1343 (4),
381174,Anonymous,0.0673 (5),
380853,Anonymous,0.0354 (6),
381166,Anonymous,0.0030 (7),
381204,Anonymous,0.0001 (8),
