submission_pk,User,F1,P,R
821477,Varad,- (-),,,
submission_pk,User,F1,P,R
821477,Varad,- (-),,,
submission_pk,User,F1,P,R
821477,Varad,- (-),,,
submission_pk,User,F1,P,R
821477,Varad,- (-),,,
submission_pk,User,F1,P,R
821477,Varad,- (-),,,
submission_pk,User,F1,P,R
821477,Varad,0.93 (1),0.9149 (1),0.9412 (1),
submission_pk,User,F1,P,R
821477,Varad,- (-),,,
submission_pk,User,F1,P,R
821477,Varad,- (-),,,
submission_pk,User,F1,P,R
821477,Varad,- (-),,,
submission_pk,User,F1,P,R
821477,Varad,- (-),,,
submission_pk,User,F1,P,R
821477,Varad,- (-),,,
submission_pk,User,F1,P,R
821477,Varad,- (-),,,
