submission_pk,User,Loss
960847,Ajoo,0.0841 (1),
966474,TeamQ,0.3457 (2),
960728,KC988,0.3652 (3),
933907,GuineaPig,0.3698 (4),
951788,proteus1991,0.3703 (5),
970377,mpopeski,0.4500 (6),
965893,longjp,0.4656 (7),
971856,bkleiner,0.4895 (8),
970367,LEM,0.7545 (9),
930156,anand1812,0.7713 (10),
928782,gherardo,0.8146 (11),
928727,___rf-baseline___,0.8489 (12),
940665,Alantlb,0.8655 (13),
950187,Rookie_,0.9369 (14),
935660,tsyet12,0.9372 (15),
932660,rho1101,0.9438 (16),
953610,Rahul_Choudhary,0.9453 (17),
953541,Raushan,0.9453 (17),
928724,___zero-baseline___,0.9453 (17),
969045,rhoP,0.9458 (18),
928725,___starter-kit-baseline___,0.9929 (19),
