submission_pk,User,mAP
85201,sungheonpark,0.801 (1),
87841,LLL,0.783 (2),
88321,FV,0.770 (3),
86901,vmalpani,0.740 (4),
86791,xperzy,0.729 (5),
87401,07wanglimin,0.717 (6),
72061,cvl,0.662 (7),
87451,ZZZ,0.651 (8),
61121,imagecc,0.640 (9),
88411,rezafuad,0.583 (10),
62541,SIAT_MMLAB,0.507 (11),
88791,xavigiro,0.503 (12),
71681,yizhou,0.387 (13),
42281,jfabianarteaga,0.164 (14),
88781,abhinavg,0.022 (15),
57061,joewan10,0.008 (16),
68711,ll1213,0.000 (17),
