submission_pk,User,EXTRAP.,INTERP.,SHAPE,ARTIC.,VIEWP.
1143505,shadowk,10.65 (1),3.98 (4),9.31 (1),3.50 (2),5.92 (1),
1145050,ZhouJun7,11.90 (2),5.14 (9),9.64 (3),4.98 (9),7.81 (6),
675604,zzzh,12.11 (3),3.37 (1),9.44 (2),3.74 (4),6.22 (2),
820629,pfren,12.35 (4),3.59 (2),10.77 (9),3.17 (1),6.68 (3),
1065150,acc,12.46 (5),4.30 (5),10.13 (5),4.30 (6),8.93 (13),
1133031,rpf,12.85 (6),4.75 (7),10.86 (10),3.67 (3),7.74 (5),
811096,ljk,12.99 (7),4.88 (8),9.76 (4),4.87 (8),7.33 (4),
675690,jameel,13.35 (8),6.08 (11),10.69 (8),5.83 (10),8.91 (12),
506110,xftts,13.74 (9),6.33 (14),11.23 (12),6.05 (11),8.78 (10),
506093,zhangboshen,13.75 (10),6.33 (15),11.17 (11),6.06 (12),8.64 (9),
1047409,czl,14.06 (11),6.20 (13),10.22 (6),6.25 (14),8.39 (8),
642712,sirius.xie,14.06 (12),6.20 (12),10.22 (7),6.25 (13),8.39 (7),
564014,longxiaomi,15.29 (13),8.26 (19),12.61 (15),7.83 (18),11.26 (16),
655978,MElody,15.34 (14),4.57 (6),12.24 (13),3.93 (5),8.78 (11),
888308,chengjian,15.67 (15),7.75 (17),12.53 (14),8.21 (20),11.48 (17),
504810,Harken,15.81 (16),5.68 (10),13.37 (16),4.87 (7),9.31 (14),
896739,Stephen_30,16.17 (17),11.77 (23),15.04 (22),10.96 (23),14.61 (21),
1147089,jxxx,18.30 (18),9.12 (20),15.00 (21),8.21 (19),15.83 (22),
500965,Enric,19.08 (19),7.50 (16),13.60 (17),6.43 (15),13.50 (18),
506080,workhard,19.29 (20),10.46 (21),14.49 (20),9.65 (22),13.75 (20),
531923,strawberryfg,19.31 (21),8.05 (18),13.88 (18),7.13 (17),13.71 (19),
1130103,tekicho,19.51 (22),3.79 (3),13.96 (19),6.63 (16),10.30 (15),
505971,LSL,23.62 (23),18.78 (29),21.84 (28),16.73 (28),19.48 (25),
606991,Jimmydai2712,23.70 (24),15.49 (28),18.68 (25),15.89 (27),17.89 (24),
780260,dcfc,24.03 (25),15.06 (27),17.97 (23),14.59 (26),22.36 (27),
628115,Fractality,25.61 (26),12.12 (24),19.10 (26),11.88 (24),17.51 (23),
489547,guiggh,27.31 (27),10.53 (22),18.12 (24),13.41 (25),20.36 (26),
502478,rbr,33.15 (28),13.66 (25),20.51 (27),9.41 (21),28.13 (28),
749919,dingx92,39.07 (29),40.17 (32),39.75 (31),39.48 (32),37.97 (31),
870233,nnn,39.09 (30),39.95 (31),39.44 (30),39.02 (31),36.73 (30),
500090,Tutelarix,40.78 (31),20.57 (30),25.51 (29),22.09 (29),29.70 (29),
735026,sunzhoutao,112.41 (32),14.80 (26),77.87 (32),25.73 (30),39.38 (32),
1142979,hpoes,390.28 (33),439.72 (33),414.55 (33),437.75 (33),426.82 (33),
