submission_pk,User,Gaze Error,Gaze Error Standard Deviation
898486,VIPL-TAL-Gaze,3.11 (1),2.21 (1),
920606,Halo_Gaze,3.19 (2),2.26 (2),
898524,ustcGaze,3.30 (3),2.30 (4),
898082,Huawei_ICS,3.39 (4),2.28 (3),
898127,OneMGaze,3.66 (5),2.43 (5),
841312,asheshNTU,3.83 (6),2.72 (6),
885061,GazeTry,3.85 (7),2.73 (7),
877917,HUST-IETC,3.96 (8),2.97 (10),
915801,ust-gaze,3.97 (9),2.96 (9),
899332,SimitGaze,4.00 (10),3.11 (14),
897496,SZU-CVI,4.03 (11),2.93 (8),
844610,NISL2021,4.25 (12),3.00 (12),
855261,renqin,4.40 (13),3.21 (16),
861948,HITGaze,4.42 (14),3.08 (13),
827456,Huya_ai,4.46 (15),2.99 (11),
804454,ETH-XGaze-Baseline,4.50 (16),3.14 (15),
897804,shisen,4.53 (17),3.63 (17),
854055,NV-Gaze,15.86 (18),17.94 (19),
892410,raghu_cpdmlrd,16.30 (19),17.66 (18),
822753,HDU_CS,60.52 (20),30.12 (20),
