submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
587777,APTX4869,27.19 (1),0.69 (2),14.30 (11),0.00 (2),1.00 (1),
585454,tongtong,24.62 (38),0.65 (31),1.20 (20),0.00 (2),1.00 (1),
580245,yoon28,23.66 (45),0.62 (42),60.00 (2),1.00 (1),1.00 (1),
579240,TIANBA,23.70 (43),0.65 (35),0.34 (27),0.00 (2),1.00 (1),
579237,sss,25.02 (34),0.61 (44),1.12 (21),0.00 (2),1.00 (1),
579021,Zhushengchen,23.67 (44),0.65 (36),0.34 (27),0.00 (2),1.00 (1),
578818,qjd,26.46 (22),0.66 (26),12.00 (12),0.00 (2),1.00 (1),
570568,oddo,25.18 (29),0.62 (41),1.04 (22),0.00 (2),1.00 (1),
559846,VictoriaT,26.66 (18),0.68 (18),0.35 (26),0.00 (2),1.00 (1),
554919,KG,27.11 (3),0.69 (3),0.50 (24),1.00 (1),1.00 (1),
537048,Zivon,26.91 (9),0.68 (9),25.93 (5),0.00 (2),1.00 (1),
536448,heyday097,25.16 (31),0.63 (39),0.32 (29),0.00 (2),1.00 (1),
533203,jason71995,25.18 (28),0.66 (27),17.01 (8),0.00 (2),1.00 (1),
531610,zhangdexiong,26.76 (15),0.68 (14),15.16 (10),0.00 (2),1.00 (1),
599517,jeasonzhou1,24.95 (35),0.65 (32),4.94 (16),0.00 (2),0.00 (2),
593717,pigfather315,26.32 (25),0.67 (25),4.94 (16),0.00 (2),0.00 (2),
588112,jkm_ispl,23.70 (42),0.61 (45),30.00 (4),1.00 (1),0.00 (2),
588041,DeepBlueAI,26.57 (21),0.68 (21),0.40 (25),0.00 (2),0.00 (2),
587324,albertron,26.98 (5),0.69 (4),30.00 (4),0.00 (2),0.00 (2),
587123,egyptdj,26.82 (12),0.68 (12),1.00 (23),0.00 (2),0.00 (2),
586878,nickolay_mykhailych,8.82 (50),0.37 (50),5.95 (15),0.00 (2),0.00 (2),
584355,harithav,25.15 (32),0.65 (30),98.00 (1),1.00 (1),0.00 (2),
580270,huayan,26.93 (6),0.68 (5),35.40 (3),0.00 (2),0.00 (2),
577495,fyc0624,26.29 (26),0.68 (22),0.00 (33),0.00 (2),0.00 (2),
575472,egg126,24.35 (39),0.61 (46),1.50 (18),0.00 (2),0.00 (2),
575537,moushuai,25.09 (33),0.64 (37),24.85 (6),0.00 (2),0.00 (2),
570142,iim-nike,26.92 (7),0.68 (7),30.00 (4),0.00 (2),0.00 (2),
569739,hrishikeshps,25.20 (27),0.65 (29),98.00 (1),1.00 (1),0.00 (2),
569694,FuzhiYang,26.91 (10),0.68 (8),35.40 (3),0.00 (2),0.00 (2),
566948,sgu_hyosong,26.65 (19),0.68 (19),11.84 (13),1.00 (1),0.00 (2),
566839,rptxk01,24.95 (35),0.65 (32),11.84 (13),1.00 (1),0.00 (2),
555153,MKFMIKU,26.74 (16),0.68 (15),0.27 (30),0.00 (2),0.00 (2),
549723,Densen,24.35 (40),0.63 (40),98.00 (1),1.00 (1),0.00 (2),
546142,morgan,26.79 (14),0.68 (11),0.33 (28),1.00 (1),0.00 (2),
543529,andreistirb,26.38 (24),0.67 (24),7.19 (14),0.00 (2),0.00 (2),
543533,lsmale,26.45 (23),0.67 (23),18.06 (7),0.00 (2),0.00 (2),
542899,cydiachen,26.63 (20),0.68 (20),1.26 (19),0.00 (2),0.00 (2),
541343,piyush_2357,23.64 (47),0.61 (47),2.50 (17),1.00 (1),0.00 (2),
537482,givenjiang,26.72 (17),0.68 (16),16.85 (9),0.00 (2),0.00 (2),
536078,jimmywong,26.92 (8),0.68 (6),-1.00 (34),0.00 (2),0.00 (2),
534790,keyan,24.28 (41),0.59 (48),1.00 (23),0.00 (2),0.00 (2),
533795,caijiayin,24.93 (36),0.65 (34),0.08 (32),1.00 (1),0.00 (2),
533738,KillerSeven,26.80 (13),0.68 (17),0.20 (31),0.00 (2),0.00 (2),
1096823,pigdad,24.86 (37),0.65 (33),-1.00 (34),-1.00 (3),-1.00 (3),
570350,panda123,22.65 (48),0.63 (38),-1.00 (34),-1.00 (3),-1.00 (3),
550252,splinter23,27.03 (4),0.68 (10),-1.00 (34),-1.00 (3),-1.00 (3),
540908,Zhi_Jin_SYSU,23.64 (46),0.54 (49),-1.00 (34),-1.00 (3),-1.00 (3),
533727,bokyeung,25.17 (30),0.66 (28),-1.00 (34),-1.00 (3),-1.00 (3),
532979,lj1995,27.16 (2),0.69 (1),-1.00 (34),-1.00 (3),-1.00 (3),
532367,hwsun,26.91 (11),0.68 (13),0.00 (33),0.00 (2),-1.00 (3),
529840,kuldeeppurohit3,21.59 (49),0.62 (43),-1.00 (34),-1.00 (3),-1.00 (3),
