submission_pk,User,MAP@5,MAP@1,MAP@3,MAP@10,MAP_All,RR,P@3,P@5,P@10
879833,simihaylova,0.470 (1),0.402 (1),0.465 (1),0.484 (1),0.487 (1),0.501 (1),0.190 (1),0.121 (1),0.071 (1),
878870,magc,0.321 (2),0.293 (2),0.314 (2),0.328 (2),0.336 (2),0.358 (2),0.126 (2),0.082 (2),0.047 (2),
872082,sshaar,0.321 (2),0.293 (2),0.314 (2),0.328 (2),0.335 (3),0.358 (3),0.126 (2),0.082 (2),0.047 (2),
