submission_pk,User,Score,Computation time
727062,rl_agnet,25.53 (1),474.35 (27),
727581,KunjieTang,24.66 (2),414.09 (26),
727571,lujixiang,24.63 (3),518.29 (29),
727057,djmax008,21.35 (4),298.76 (22),
727060,TonyS,14.01 (5),299.51 (23),
725770,taka,13.97 (6),324.47 (25),
726302,yzm_test,9.88 (7),628.77 (32),
727055,UN_aiGridOperator,8.38 (8),572.91 (31),
727054,var764,7.67 (9),168.57 (20),
726583,PowerRangers,6.43 (10),645.73 (33),
727058,mwasserer,3.55 (11),484.56 (28),
726307,tolovskifilip,2.14 (12),752.40 (34),
727056,tIEEmCES,1.58 (13),320.12 (24),
727061,Anonymous01,0.26 (14),561.78 (30),
726304,LanHoang,0.00 (15),1.28 (13),
716725,Nastasya,0.00 (15),0.97 (8),
716726,gganastasiya,0.00 (15),0.98 (9),
716737,amitj,0.00 (15),0.96 (7),
716723,annetalllll,0.00 (15),1.14 (12),
716724,juliamekys,0.00 (15),0.98 (10),
695586,sslim,0.00 (15),0.91 (4),
683649,shubham9455,0.00 (15),0.95 (5),
681525,Antpishi,0.00 (15),0.96 (6),
678290,EfimovIN,0.00 (15),0.99 (11),
674597,leixucser,0.00 (15),0.00 (1),
716728,student,-0.45 (16),103.97 (16),
727059,kishanpb1,-0.55 (17),126.39 (19),
716721,LifeX,-0.58 (18),109.81 (17),
675297,amarot,-8.03 (19),1.44 (14),
726306,alexto,-14.00 (20),214.12 (21),
688574,hlhsu,-26.23 (21),120.66 (18),
678209,ruyueshuo,-28.91 (22),19.60 (15),
695587,lewington,-40.24 (23),0.01 (2),
688572,WastedTimes,-40.24 (23),0.01 (3),
