submission_pk,User,min t-DCF,EER
931212,Anonymous,0.6824 (1),24.25 (1),
930686,Anonymous,0.7122 (2),27.59 (3),
930041,Anonymous,0.7296 (3),26.42 (2),
930575,Anonymous,0.7446 (4),28.36 (4),
930981,Anonymous,0.7462 (5),29.00 (5),
930293,Anonymous,0.7469 (6),29.22 (7),
932321,Anonymous,0.7648 (7),29.55 (8),
931314,Anonymous,0.7670 (8),29.02 (6),
930498,Anonymous,0.8216 (9),35.07 (13),
929819,Anonymous,0.8307 (10),32.00 (10),
931941,Anonymous,0.8362 (11),29.61 (9),
930630,Anonymous,0.8879 (12),32.96 (11),
932454,Anonymous,0.9265 (13),37.10 (14),
929810,Anonymous,0.9434 (14),38.07 (15),
929967,Anonymous,0.9444 (15),38.07 (15),
930300,Anonymous,0.9530 (16),38.50 (16),
930751,Anonymous,0.9666 (17),34.77 (12),
929813,Anonymous,0.9724 (18),39.54 (17),
931504,Anonymous,0.9939 (19),42.55 (18),
932183,Anonymous,0.9945 (20),42.98 (19),
929795,Anonymous,0.9958 (21),44.77 (20),
929805,Anonymous,0.9997 (22),48.60 (22),
929896,Anonymous,1.0000 (23),45.50 (21),
