submission_pk,User,< Rank >,Pearson r,RMSE,MAE,Disk Footprint (Bytes),Model Params
940405,joanne.wjy,3.00 (1),0.6025 (1),0.5804 (1),0.4499 (1),2244030744.0 (6),560981507.0 (6),
940526,IST-Unbabel,6.00 (6),0.5862 (2),0.6312 (5),0.4988 (5),4872322439.0 (9),1214683792.0 (9),
939718,HW-TSC,4.00 (2),0.5828 (3),0.6265 (4),0.4868 (3),2243941083.0 (5),560941057.0 (5),
934953,hantae.kim,5.40 (4),0.5668 (4),0.6230 (3),0.4895 (4),2503797760.0 (8),611278859.0 (8),
952274,kw,4.20 (3),0.5635 (5),0.6047 (2),0.4666 (2),2244030744.0 (6),560981507.0 (6),
933815,gregor_geigle,7.20 (8),0.5577 (6),0.6873 (8),0.5413 (8),2382759964.0 (7),595689991.0 (7),
937098,shaun.lim,5.40 (4),0.5534 (7),0.6426 (6),0.5002 (6),1249902592.0 (4),297974795.0 (4),
940542,fblain,5.60 (5),0.5248 (8),0.6832 (7),0.5344 (7),1142413043.0 (3),281291535.0 (3),
940453,Bergamot,6.00 (6),0.2618 (9),1.0876 (9),0.9136 (10),28949742.0 (1),6941751.0 (1),
940459,shakedme,6.60 (7),0.1305 (10),1.1486 (10),0.8377 (9),626401280.0 (2),156589824.0 (2),
