submission_pk,User,Accuracy_task1
777602,Silvilla,0.9511 (1),
802016,PINGAN_Omini-Sinitic,0.9304 (2),
777731,wwwlps,0.9047 (3),
802024,tt123,0.8998 (4),
778120,cxn,0.8869 (5),
802019,nxc,0.8864 (6),
802014,CheaSim,0.8785 (7),
778165,indexfziq,0.8751 (8),
802025,hzxx1997,0.8672 (9),
802051,JIANGYuxin,0.8667 (10),
802030,shikhar00778,0.8622 (11),
776876,godrevl,0.8306 (12),
802039,amittal151,0.8212 (13),
802020,DeepBlueAI,0.8183 (14),
802026,lrg.recam,0.7531 (15),
777118,xuliang,0.7472 (16),
774633,Llf1206571288,0.7279 (17),
777343,Qing,0.7136 (18),
777361,austin-lei,0.5659 (19),
778112,judepark,0.4632 (20),
776682,thanet.mar,0.4198 (21),
777844,munia,0.1931 (22),
777339,tianqingYang,0.1896 (23),
submission_pk,User,Accuracy_task2
778112,judepark,- (-),
777602,Silvilla,- (-),
802051,JIANGYuxin,- (-),
778120,cxn,- (-),
774633,Llf1206571288,- (-),
777361,austin-lei,- (-),
777731,wwwlps,- (-),
777118,xuliang,- (-),
776876,godrevl,- (-),
778165,indexfziq,- (-),
802014,CheaSim,- (-),
802016,PINGAN_Omini-Sinitic,- (-),
802019,nxc,- (-),
802020,DeepBlueAI,- (-),
802024,tt123,- (-),
802025,hzxx1997,- (-),
802026,lrg.recam,- (-),
802030,shikhar00778,- (-),
777844,munia,- (-),
802039,amittal151,- (-),
777339,tianqingYang,- (-),
776682,thanet.mar,- (-),
777343,Qing,- (-),
