submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1] / GPU [0],Extra Data [1] / No Extra Data [0]
494702,Bear,24.28 (1),0.87 (3),0.52 (6),0.00 (1),0.00 (2),
494682,Schoolyellow,24.26 (2),0.87 (4),0.40 (8),0.00 (1),0.00 (2),
494876,q19911124,24.17 (3),0.87 (2),0.25 (10),0.00 (1),0.00 (2),
494400,JSChoi,24.01 (4),0.85 (7),0.08 (12),0.00 (1),0.00 (2),
495007,kuldeeppurohit3,24.01 (5),0.87 (5),2.00 (2),0.00 (1),0.00 (2),
489515,Yangwj,23.95 (6),0.88 (1),4.21 (1),0.00 (1),0.00 (2),
494705,tensorcat,23.69 (7),0.86 (6),0.82 (5),0.00 (1),1.00 (1),
494919,rliu,23.64 (8),0.85 (8),0.42 (7),0.00 (1),0.00 (2),
494121,xdhm2017,23.21 (9),0.84 (9),0.23 (11),0.00 (1),0.00 (2),
490657,grape205,21.82 (10),0.81 (10),1.03 (4),0.00 (1),0.00 (2),
482648,Radu,21.42 (11),0.72 (13),-1.00 (13),-1.00 (2),-1.00 (3),
493058,XXH,21.40 (12),0.75 (12),1.30 (3),0.00 (1),0.00 (2),
494932,kmaeii,21.23 (13),0.80 (11),0.37 (9),0.00 (1),0.00 (2),
