submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
1113248,LoveLetter,37.0629 (1),34.3045 (4),1.2700 (10),-1.0 (1),-1.0 (1),
837259,chenguannan1981,33.2497 (2),34.3912 (3),5.0000 (14),0.0 (2),0.0 (2),
835653,Emolly,32.2156 (3),33.7337 (6),0.0200 (2),0.0 (2),0.0 (2),
837178,sylver,31.9816 (4),33.6009 (9),5.0000 (14),0.0 (2),0.0 (2),
1133151,forme,31.9068 (5),34.7163 (1),10.4300 (17),1.0 (3),1.0 (3),
836601,Xy_Chen,31.9026 (6),34.6666 (2),0.5200 (5),0.0 (2),0.0 (2),
835530,noahtcv,31.7322 (7),33.7056 (7),5.1500 (15),0.0 (2),0.0 (2),
896621,xiongyineng,31.7044 (8),34.1945 (5),0.6000 (6),0.0 (2),0.0 (2),
976222,Bbida,31.4653 (9),32.5778 (13),1.3500 (11),0.0 (2),0.0 (2),
811520,PipiBackup,31.0242 (10),30.0020 (15),0.2564 (4),0.0 (2),0.0 (2),
832451,sharif_apu,30.7436 (11),32.7560 (11),-1.0000 (1),-1.0 (1),-1.0 (1),
832425,CVRG,30.7435 (12),32.7560 (12),-1.0000 (1),-1.0 (1),-1.0 (1),
1130667,Densen,30.5247 (13),33.4722 (10),0.0370 (3),0.0 (2),0.0 (2),
831203,clutch,30.4105 (14),33.6292 (8),1.5000 (12),0.0 (2),0.0 (2),
909614,akhilkashok,29.7330 (15),31.2275 (14),-1.0000 (1),-1.0 (1),-1.0 (1),
819499,JQTang,27.0731 (16),21.5617 (16),10.0000 (16),0.0 (2),1.0 (3),
833622,liuzurang,26.8081 (17),16.2603 (17),3.0000 (13),0.0 (2),0.0 (2),
782404,zhangqi,25.8394 (18),15.5102 (18),0.6000 (6),0.0 (2),0.0 (2),
837358,sjmin9868,24.4713 (19),12.4392 (19),1.0000 (9),1.0 (3),0.0 (2),
1136397,shushushucier,22.2761 (20),12.1788 (20),0.9600 (8),0.0 (2),0.0 (2),
803984,go_a327,21.7128 (21),11.7988 (21),0.6200 (7),0.0 (2),0.0 (2),
