submission_pk,User,Error
144371,csmath,0.215327 (1),
137041,xperzy,0.236426 (2),
140081,uricamic,0.240429 (3),
145721,OLE,0.265452 (4),
123081,xbaro,0.272212 (5),
143741,palm_seu,0.339589 (6),
144211,really,0.345112 (7),
142872,frkngrpnr,0.384979 (8),
136101,rcmalli,0.417944 (9),
145851,stmater,0.427319 (10),
