submission_pk,User,f1,recall,prec,acc
1146124,faridlazuarda,0.808 (1),0.803 (1),0.818 (1),0.802 (1),
837724,indoganteng,0.790 (2),0.788 (2),0.792 (2),0.791 (2),
1099943,marsathoriq,0.777 (3),0.772 (3),0.783 (3),0.773 (3),
1107367,thiffany.pratama,0.750 (4),0.749 (4),0.757 (4),0.748 (4),
717907,denritchie,0.737 (5),0.736 (5),0.740 (5),0.730 (5),
928962,wilsonwongo,0.721 (6),0.719 (7),0.725 (6),0.718 (6),
867472,minhtu7591,0.718 (7),0.722 (6),0.717 (7),0.711 (7),
