submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1] / GPU [0],Extra Data [1] / No Extra Data [0]
590779,zyz987,21.62 (50),0.86 (47),10.43 (1),1.00 (1),1.00 (1),
590565,flemarch,36.90 (38),0.98 (37),0.03 (17),0.00 (2),1.00 (1),
590539,sabarinathan,36.85 (39),0.98 (39),5.43 (2),1.00 (1),1.00 (1),
590495,siyixu82,25.16 (49),0.77 (50),10.43 (1),1.00 (1),1.00 (1),
727644,wce,41.18 (12),0.99 (9),10.43 (1),0.00 (2),0.00 (2),
625356,harithav,37.20 (36),0.98 (36),0.54 (6),0.00 (2),0.00 (2),
590901,XMU-VIPLab,38.93 (29),0.99 (29),0.14 (11),0.00 (2),0.00 (2),
590887,Hanzy,25.51 (48),0.79 (49),0.00 (21),0.00 (2),0.00 (2),
590896,ynli,35.19 (43),0.98 (40),0.01 (19),0.00 (2),0.00 (2),
590834,Zhang9678,40.31 (19),0.99 (21),0.11 (12),0.00 (2),0.00 (2),
590841,xdhm2017,40.15 (21),0.99 (20),0.14 (11),0.00 (2),0.00 (2),
590799,Densen,35.36 (42),0.97 (43),0.09 (13),1.00 (1),0.00 (2),
590790,hrishikeshps,35.73 (40),0.97 (42),0.07 (15),1.00 (1),0.00 (2),
590771,proteus1991,40.82 (15),0.99 (13),0.21 (9),0.00 (2),0.00 (2),
590743,opteroncx,39.28 (26),0.99 (26),0.16 (10),0.00 (2),0.00 (2),
590704,sangmin_kim,40.63 (17),0.99 (16),0.23 (8),0.00 (2),0.00 (2),
590614,dark_1im1ess,38.64 (30),0.99 (32),3.87 (3),0.00 (2),0.00 (2),
590615,xuanzhao,31.08 (45),0.93 (45),0.01 (18),0.00 (2),0.00 (2),
590606,sudo,42.22 (1),0.99 (1),0.25 (7),0.00 (2),0.00 (2),
590599,flrngel,27.82 (47),0.85 (48),0.85 (5),1.00 (1),0.00 (2),
590576,sinashish,29.83 (46),0.91 (46),0.05 (16),1.00 (1),0.00 (2),
590544,cilab,38.41 (33),0.99 (33),0.01 (20),0.00 (2),0.00 (2),
590537,neptuneai,35.41 (41),0.97 (41),0.03 (17),0.00 (2),0.00 (2),
590526,jimmy_jeong,41.30 (8),0.99 (12),0.87 (4),0.00 (2),0.00 (2),
590514,kkangby,41.22 (10),0.99 (11),-1.00 (22),0.00 (2),0.00 (2),
590502,sjyoon1671,41.23 (9),0.99 (10),-1.00 (22),0.00 (2),0.00 (2),
590503,q19911124,40.92 (13),0.99 (14),0.07 (14),0.00 (2),0.00 (2),
590498,mrc,41.23 (9),0.99 (10),-1.00 (22),0.00 (2),0.00 (2),
1091170,aim_joseph,34.19 (44),0.96 (44),-1.00 (22),-1.00 (3),-1.00 (3),
1069483,rtqsa_lc,40.83 (14),0.99 (15),-1.00 (22),-1.00 (3),-1.00 (3),
849864,rtqsa002,41.65 (5),0.99 (7),-1.00 (22),-1.00 (3),-1.00 (3),
779344,rtqsa,40.04 (22),0.99 (22),-1.00 (22),-1.00 (3),-1.00 (3),
767971,zzzkiller,39.41 (25),0.99 (25),-1.00 (22),-1.00 (3),-1.00 (3),
738400,leeru,38.59 (32),0.99 (31),-1.00 (22),-1.00 (3),-1.00 (3),
732026,Xingchen,9.79 (51),0.06 (51),-1.00 (22),-1.00 (3),-1.00 (3),
731380,kimjisu,39.99 (23),0.99 (23),-1.00 (22),-1.00 (3),-1.00 (3),
590846,HaoqiangYang,38.10 (34),0.99 (34),-1.00 (22),-1.00 (3),-1.00 (3),
590817,allenallen9,38.59 (31),0.99 (30),-1.00 (22),-1.00 (3),-1.00 (3),
590759,JiKun63,39.12 (28),0.99 (28),-1.00 (22),-1.00 (3),-1.00 (3),
590747,stormy,38.06 (35),0.99 (35),-1.00 (22),-1.00 (3),-1.00 (3),
590745,Nam,40.21 (20),0.99 (19),-1.00 (22),-1.00 (3),-1.00 (3),
590742,Zhijia,39.53 (24),0.99 (24),-1.00 (22),-1.00 (3),-1.00 (3),
590702,YejiLab,39.25 (27),0.99 (27),-1.00 (22),-1.00 (3),-1.00 (3),
590658,libpku,40.58 (18),0.99 (18),-1.00 (22),-1.00 (3),-1.00 (3),
590499,QQFlyCar,42.08 (2),0.99 (2),-1.00 (22),-1.00 (3),-1.00 (3),
590626,kevin_k,40.73 (16),0.99 (17),-1.00 (22),-1.00 (3),-1.00 (3),
590597,imc,41.21 (11),0.99 (8),-1.00 (22),-1.00 (3),-1.00 (3),
590590,panda123,37.14 (37),0.98 (38),-1.00 (22),-1.00 (3),-1.00 (3),
590554,cjsoft,41.56 (6),0.99 (5),-1.00 (22),-1.00 (3),-1.00 (3),
590563,q935970314,41.99 (3),0.99 (3),-1.00 (22),-1.00 (3),-1.00 (3),
590550,ir1d,41.47 (7),0.99 (6),-1.00 (22),-1.00 (3),-1.00 (3),
590510,naivevian,41.73 (4),0.99 (4),-1.00 (22),-1.00 (3),-1.00 (3),
