submission_pk,User,KLD,AE,RAE
385624,mcliche,0.03600 (1),0.08000 (1),0.59800 (1),
386343,cbaziotis,0.04800 (2),0.09500 (2),0.84800 (2),
386520,dorsar,0.05000 (3),0.09600 (3),1.05700 (5),
386001,gupta-rk,0.05600 (4),0.10400 (5),1.20200 (6),
385948,sasa,0.05700 (5),0.10300 (4),1.05100 (4),
386467,quanzhi,0.06000 (6),0.10900 (6),0.93900 (3),
386427,bakrianoo,0.07700 (7),0.12000 (7),1.22800 (7),
386481,karpnv,0.07800 (8),0.13200 (8),1.52800 (8),
386238,wwmmqq,0.09200 (9),0.14300 (9),1.92200 (9),
385970,THU_HCSI_IDU,0.12900 (10),0.17900 (10),2.42800 (11),
386060,danielfl,0.14900 (11),0.17900 (10),2.16800 (10),
386123,ramybaly,0.16400 (12),0.20400 (11),2.79000 (12),
386347,sureshsanampudi,0.42100 (13),0.31400 (12),2.98300 (13),
385750,lhurtado,1.06000 (14),0.59300 (15),7.99100 (16),
385581,Epix,1.14200 (15),0.59200 (14),7.85900 (15),
385322,seirasto,2.25500 (16),0.57800 (13),7.62100 (14),
