submission_pk,User,Accuracy,F-score,MRR,MAP
459726,romang,0.4610 (1),0.9006 (1),0.5927 (1),0.4610 (1),
459802,saeednajafi,0.4120 (2),0.8812 (2),0.5312 (2),0.4120 (2),
1078129,nerdimite2,0.3910 (3),0.8788 (3),0.3910 (3),0.3910 (3),
460637,soumyadeep,0.3820 (4),0.8618 (5),0.3820 (4),0.3820 (4),
1071882,yashraj2000,0.3790 (5),0.8712 (4),0.3790 (5),0.3790 (5),
