submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
650360,arnaurm,21.9001 (1),0.6122 (1),6.0000 (1),0.0 (2),1.0 (1),
650281,hrishikeshps,20.9139 (11),0.5743 (12),0.0600 (7),0.0 (2),1.0 (1),
655097,haoyuc,21.4552 (4),0.5975 (3),0.0000 (9),0.0 (2),0.0 (2),
654851,iim-nike,21.0561 (10),0.5813 (11),0.2500 (6),0.0 (2),0.0 (2),
654744,tongtong,21.2687 (7),0.5928 (5),0.0100 (8),1.0 (1),0.0 (2),
654600,hanwei,21.3658 (5),0.5942 (4),1.0000 (3),0.0 (2),0.0 (2),
653414,recca,21.1422 (9),0.5816 (10),0.0100 (8),1.0 (1),0.0 (2),
651075,zheng222,20.8679 (12),0.5913 (7),0.5000 (5),0.0 (2),0.0 (2),
651024,kronos,21.4604 (3),0.5902 (8),3.0000 (2),0.0 (2),0.0 (2),
649772,DYng,21.2297 (8),0.5918 (6),0.5200 (4),0.0 (2),0.0 (2),
648352,xuxu123,21.4878 (2),0.6001 (2),1.0000 (3),0.0 (2),0.0 (2),
647890,kapendragon,21.3305 (6),0.5850 (9),3.0000 (2),0.0 (2),0.0 (2),
616849,dario,19.8447 (13),0.5361 (13),0.0000 (9),1.0 (1),0.0 (2),
