submission_pk,User,MAP@5,MAP@1,MAP@3,MAP@10,MAP_All,RR,P@3,P@5,P@10
869988,gs_chm,0.815 (2),0.722 (1),0.812 (2),0.816 (2),0.821 (2),0.833 (1),0.341 (2),0.207 (2),0.105 (2),
878387,watheq,0.819 (1),0.710 (2),0.816 (1),0.821 (1),0.822 (1),0.832 (2),0.345 (1),0.209 (1),0.106 (1),
866259,sshaar,0.000 (3),0.000 (3),0.000 (3),0.000 (3),0.000 (3),0.000 (3),0.000 (3),0.000 (3),0.000 (3),
