submission_pk,User,score,EN,ET,HR,FI,SL
574252,Luna-8,1.000 (1),1.000 (1),0.0 (1),1.000 (1),0.000 (1),1.000 (1),
574593,dloureiro,0.690 (2),0.690 (2),0.0 (1),0.689 (2),0.000 (1),0.307 (3),
641924,bicici,0.614 (3),0.614 (3),0.0 (1),0.682 (3),0.000 (1),0.592 (2),
555636,mutaz,0.368 (4),0.368 (4),0.0 (1),0.682 (3),0.000 (1),0.592 (2),
575060,nour.khdour,0.144 (5),0.144 (5),0.0 (1),0.682 (3),0.000 (1),0.251 (4),
