submission_pk,User,< Rank >,Pearson r,RMSE,MAE,Disk Footprint (Bytes),Model Params
940406,joanne.wjy,4.20 (2),0.9082 (1),0.3925 (2),0.3160 (6),2244030744.0 (6),560981507.0 (6),
933402,hantae.kim,4.60 (3),0.9008 (2),0.3926 (3),0.2878 (2),2503797760.0 (8),611278859.0 (8),
940233,HW-TSC,3.00 (1),0.9008 (3),0.3844 (1),0.2859 (1),2243941083.0 (5),560941057.0 (5),
940525,IST-Unbabel,5.80 (5),0.8992 (4),0.3931 (4),0.2894 (3),4872322439.0 (9),1214683792.0 (9),
952284,kw,5.20 (4),0.8954 (5),0.4070 (5),0.3052 (4),2244030744.0 (6),560981507.0 (6),
933812,gregor_geigle,6.80 (9),0.8861 (6),0.4531 (7),0.3347 (7),2382759964.0 (7),595689991.0 (7),
937101,shaun.lim,5.20 (4),0.8786 (7),0.4274 (6),0.3156 (5),1249902592.0 (4),297974795.0 (4),
940543,fblain,6.00 (6),0.8175 (8),0.5556 (8),0.4081 (8),1142413043.0 (3),281291535.0 (3),
940462,Bergamot,6.20 (7),0.6874 (9),1.0238 (10),0.7483 (10),70044344.0 (1),16772151.0 (1),
939550,shakedme,6.40 (8),0.6500 (10),0.7939 (9),0.6276 (9),626401280.0 (2),156589824.0 (2),
