submission_pk,User,< Rank >,Pearson r,RMSE,MAE,Disk Footprint (Bytes),Model Params
939406,joanne.wjy,3.40 (1),0.8117 (1),0.4882 (1),0.3931 (1),2244030744.0 (7),560981507.0 (7),
940761,HW-TSC,4.80 (2),0.8081 (2),0.5198 (5),0.4093 (5),2243941083.0 (6),560941057.0 (6),
940522,IST-Unbabel,6.20 (6),0.7956 (3),0.5190 (4),0.4038 (4),4872322439.0 (10),1214683792.0 (10),
933403,hantae.kim,5.20 (3),0.7941 (4),0.5101 (2),0.3968 (2),2503797760.0 (9),611278859.0 (9),
933811,gregor_geigle,6.80 (9),0.7916 (5),0.5629 (7),0.4241 (6),2382759964.0 (8),595689991.0 (8),
952280,kw,5.20 (3),0.7909 (6),0.5152 (3),0.4004 (3),2244030744.0 (7),560981507.0 (7),
937102,shaun.lim,5.60 (4),0.7588 (7),0.5496 (6),0.4340 (7),1249902592.0 (4),297974795.0 (4),
940544,fblain,6.00 (5),0.6601 (8),0.6997 (8),0.5425 (8),1142413043.0 (3),281291535.0 (3),
939315,LisaIan,6.60 (8),0.5466 (9),1.8398 (11),1.7009 (11),1705478.0 (1),421537.0 (1),
941186,Bergamot,6.40 (7),0.5441 (10),0.9663 (9),0.7608 (9),284339184.0 (2),70969501.0 (2),
939499,shakedme,8.20 (10),0.3287 (11),1.0716 (10),0.8616 (10),1886937088.0 (5),471716864.0 (5),
