submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
747443,MERG,15.92 (62),0.59 (51),0.03 (31),0.00 (2),1.00 (1),
732443,NTUEE_LINLAB,18.25 (26),0.65 (13),3.00 (12),0.00 (2),1.00 (1),
605893,aes,16.63 (46),0.61 (47),1.10 (16),0.00 (2),1.00 (1),
591986,Densen,14.99 (70),0.56 (59),7.19 (7),0.00 (2),1.00 (1),
591421,aes0202,17.08 (40),0.62 (35),1.10 (16),0.00 (2),1.00 (1),
588423,zzz333,9.98 (76),0.12 (77),0.03 (32),1.00 (1),1.00 (1),
587829,DoNET,18.65 (20),0.66 (11),5.00 (8),0.00 (2),1.00 (1),
587500,ChallengeL,18.45 (23),0.64 (29),10.43 (6),1.00 (1),1.00 (1),
579211,weilan,16.83 (43),0.56 (57),0.03 (32),1.00 (1),1.00 (1),
578616,xiqi,17.75 (32),0.64 (19),1.70 (14),0.00 (2),1.00 (1),
578582,lucaszhao,17.74 (33),0.64 (25),14.00 (3),0.00 (2),1.00 (1),
578229,zhilin007_,16.30 (53),0.64 (23),2.00 (13),0.00 (2),1.00 (1),
576839,Navaneeth_Raghunath,14.41 (73),0.35 (74),0.00 (38),0.00 (2),1.00 (1),
575744,Eunsung,16.59 (47),0.54 (64),0.38 (22),0.00 (2),1.00 (1),
575539,specialre,16.32 (51),0.55 (61),-1.00 (39),0.00 (2),1.00 (1),
575396,xuanzhao,16.68 (44),0.62 (34),0.15 (25),0.00 (2),1.00 (1),
566947,viclab_love_food,18.28 (25),0.64 (28),5.00 (8),0.00 (2),1.00 (1),
559809,peter980421,17.55 (34),0.55 (62),16.00 (2),0.00 (2),1.00 (1),
555440,jiyeson,17.14 (38),0.51 (68),4.99 (9),1.00 (1),1.00 (1),
541375,cvpr_iitrpr,16.02 (58),0.52 (67),1.00 (17),0.00 (2),1.00 (1),
541313,akshay.aad16,16.63 (45),0.57 (55),1.00 (17),0.00 (2),1.00 (1),
536809,aryanmehra1999,14.85 (71),0.32 (75),0.00 (37),0.00 (2),1.00 (1),
955333,Alton,17.53 (35),0.62 (37),0.13 (27),0.00 (2),0.00 (2),
896580,snail_in_sky,17.97 (28),0.64 (21),0.04 (30),0.00 (2),0.00 (2),
758722,cdpiggy,17.90 (30),0.63 (30),0.01 (35),0.00 (2),0.00 (2),
617648,tomanut,14.39 (74),0.44 (72),0.10 (28),0.00 (2),0.00 (2),
602699,ayu_22,15.78 (64),0.49 (71),0.05 (29),0.00 (2),0.00 (2),
596331,tensorcat,16.91 (42),0.62 (40),0.01 (34),0.00 (2),0.00 (2),
594484,bouyang,16.50 (49),0.61 (42),1.64 (15),0.00 (2),0.00 (2),
590135,souryadipta,16.94 (41),0.62 (39),0.01 (34),0.00 (2),0.00 (2),
588165,destrada2013,16.36 (50),0.61 (41),13.21 (4),0.00 (2),0.00 (2),
585201,neptuneai,15.17 (68),0.54 (63),0.02 (33),0.00 (2),0.00 (2),
585194,spider,19.59 (4),0.67 (4),-1.00 (39),0.00 (2),0.00 (2),
579047,sinashish,16.30 (52),0.60 (49),11.30 (5),1.00 (1),0.00 (2),
579013,umr,18.72 (18),0.64 (18),0.20 (24),0.00 (2),0.00 (2),
578494,jeyamariajose,15.79 (63),0.55 (60),0.34 (23),1.00 (1),0.00 (2),
578168,asakusa,19.49 (5),0.65 (14),0.20 (24),0.00 (2),0.00 (2),
577463,eppark,15.30 (67),0.60 (50),0.50 (20),0.00 (2),0.00 (2),
576691,pushthebell,18.59 (22),0.61 (45),5.00 (8),0.00 (2),0.00 (2),
575826,fengfeng1124,17.08 (39),0.52 (66),0.53 (19),0.00 (2),0.00 (2),
569877,glassy,18.61 (21),0.64 (22),0.20 (24),0.00 (2),0.00 (2),
569283,dehazing_sneaker,19.36 (7),0.67 (6),-1.00 (39),0.00 (2),0.00 (2),
569275,dengqili,19.36 (7),0.67 (6),-1.00 (39),0.00 (2),0.00 (2),
568847,mrc,15.54 (66),0.58 (52),3.71 (10),0.00 (2),0.00 (2),
566831,Park-Jong-min,18.59 (22),0.61 (45),5.00 (8),0.00 (2),0.00 (2),
565087,liujing1995,19.68 (2),0.67 (2),0.45 (21),0.00 (2),0.00 (2),
555054,de20ce,8.94 (78),0.32 (76),600.00 (1),1.00 (1),0.00 (2),
