submission_pk,User,Prediction score,Duration
1041842,mevrard,0.46 (20),0.00 (1),
806746,Faldict,-1.00 (25),0.00 (1),
804211,mdsalem17,0.26 (23),0.00 (1),
780709,DH_xuejiale,0.96 (1),0.00 (1),
776210,Li_yikun,0.95 (4),0.00 (1),
773996,Ghania,0.62 (14),0.00 (1),
760599,Thibaut,0.94 (6),0.00 (1),
767457,huangzhm,0.91 (7),0.00 (1),
765517,xiaoya27,0.89 (9),0.00 (1),
765256,roby10,-1.00 (25),0.00 (1),
762490,Ousmane,0.87 (10),0.00 (1),
762447,MHAMDI_Sami,0.47 (18),0.00 (1),
762439,HongyiYUE,0.46 (19),0.00 (1),
762403,mykola_liashuha,0.86 (12),0.00 (1),
762426,Boyu_Zhu,0.49 (17),0.00 (1),
762335,Paavo,0.26 (23),0.00 (1),
761895,camkzl,0.26 (23),0.00 (1),
761757,xavibou,0.96 (3),0.00 (1),
761543,theboxtroll5,0.89 (8),0.00 (1),
761427,ihsanullah2131,0.87 (11),0.00 (1),
761354,coucoulico,-1.00 (25),0.00 (1),
760871,JonathanC,0.44 (21),0.00 (1),
760498,eric_saga,0.59 (16),0.00 (1),
760235,moha3lans,0.83 (13),0.00 (1),
760162,phanav,0.94 (5),0.00 (1),
759371,llamalle,0.60 (15),0.00 (1),
758841,RomainJ,0.33 (22),0.00 (1),
755548,guochangzhang,0.26 (23),0.00 (1),
754182,AlbertoAlgarra,0.96 (2),0.00 (1),
750210,acrulopez,0.08 (24),0.00 (1),
748954,shago,0.26 (23),0.00 (1),
747867,pavao,0.26 (23),0.00 (1),
