submission_pk,User,GEOMETRIC_MEAN,R1,R5,R10
994653,ioana.croi,23.15 (1),12.08 (1),27.40 (1),37.45 (1),
993131,hgzjy25,19.17 (2),9.13 (2),23.89 (2),32.29 (2),
963888,haoxiaoshuai,8.21 (3),3.51 (3),10.06 (3),15.68 (3),
951475,YASA,5.88 (4),1.94 (4),7.84 (4),13.38 (4),
951112,maxbain_vgg,3.45 (5),1.29 (5),3.97 (5),8.03 (5),
