submission_pk,User,F1-Bad,F1-Good,F1-Multi
777823,tharindu,0.6504 (1),0.9022 (1),0.5868 (1),
470560,junjieh,0.5192 (2),0.8268 (4),0.4293 (2),
468269,carolscarton,0.5188 (3),0.8091 (5),0.4198 (4),
479488,fblain,0.4870 (4),0.8640 (2),0.4208 (3),
470509,mespla,0.4473 (5),0.7966 (6),0.3563 (6),
469205,bicici,0.4280 (6),0.8530 (3),0.3651 (5),
submission_pk,User,F1-Bad,F1-Good,F1-Multi
470509,mespla,0.1689 (1),0.9465 (4),0.1598 (1),
468269,carolscarton,0.1303 (2),0.9653 (3),0.1258 (2),
777823,tharindu,0.1082 (3),0.9835 (1),0.1064 (3),
469205,bicici,0.0829 (4),0.9819 (2),0.0814 (4),
470560,junjieh,0.0000 (5),0.0000 (5),0.0000 (5),
479488,fblain,0.0000 (5),0.0000 (5),0.0000 (5),
submission_pk,User,F1-Bad,F1-Good,F1-Multi
777823,tharindu,0.5427 (1),0.8993 (1),0.4880 (1),
468269,carolscarton,0.4442 (2),0.8137 (3),0.3614 (2),
469205,bicici,0.1977 (3),0.8418 (2),0.1664 (3),
470560,junjieh,0.0000 (4),0.0000 (4),0.0000 (4),
470509,mespla,0.0000 (4),0.0000 (4),0.0000 (4),
479488,fblain,0.0000 (4),0.0000 (4),0.0000 (4),
