submission_pk,User,P (all),P1 (GIF w/ text),P2 (GIF only)
635660,YuHsuan,0.5752 (1),0.5705 (1),0.5783 (1),
634669,Yao,0.5619 (2),0.5479 (3),0.5712 (3),
636506,sinya,0.5614 (3),0.5381 (4),0.5768 (2),
639375,NCTU_Team_Delta,0.5448 (4),0.5491 (2),0.5420 (5),
641159,soumitra.ghosh,0.5363 (5),0.5189 (6),0.5478 (4),
635532,EricChu,0.5274 (6),0.5148 (7),0.5357 (6),
637956,petertay,0.5233 (7),0.5242 (5),0.5227 (8),
641020,sriyash421,0.5189 (8),0.5087 (8),0.5256 (7),
634090,thlin,0.4839 (9),0.4333 (9),0.5171 (9),
641316,Chilung,0.4530 (10),0.4271 (10),0.4700 (10),
635878,RyanKo,0.4100 (11),0.3340 (12),0.4598 (11),
630341,bshmueli,0.4009 (12),0.3262 (13),0.4498 (12),
632570,NCTU_Team_Uncle,0.3980 (13),0.3802 (11),0.4096 (13),
641046,summelon,0.3671 (14),0.3128 (14),0.4028 (14),
637535,morris11,0.2633 (15),0.2409 (15),0.2779 (15),
