submission_pk,User,Completion Rate,Success Rate,Episode Reward
1031830,neuroAI,0.3059 (1),0.0988 (1),-17.75 (4),
1024893,pmangg,0.2562 (2),0.0247 (3),-17.27 (3),
1024894,ldfrancis,0.2442 (3),0.0123 (4),-16.11 (2),
1024796,iglu_contest,0.1197 (4),0.0741 (2),-1.62 (1),
