submission_pk,User,< Rank >,Pearson r,RMSE,MAE,Disk Footprint,Model Params
940603,IST-Unbabel,2.20 (2),0.8793 (1),0.1221 (1),0.0984 (1),2294887576.0 (4),569368609.0 (4),
939264,HW-TSC,2.60 (3),0.8623 (2),0.1444 (3),0.1109 (2),2243954093.0 (3),560944640.0 (3),
940558,fblain,2.00 (1),0.8307 (3),0.1418 (2),0.1145 (3),1142441796.0 (1),281297685.0 (1),
936003,shch,3.20 (4),0.7951 (4),0.1714 (4),0.1406 (4),1363652116.0 (2),502000000.0 (2),
