submission_pk,User,Generic spans,Named entities
844148,ksmith,0.98013 (1),0.98115 (2),
844170,qbic,0.97907 (2),0.98150 (1),
844173,eindenbom,0.97575 (3),0.97923 (3),
844161,king_menin,0.96452 (4),0.95750 (4),
839445,tomarchelone,0.77315 (5),0.88805 (6),
844065,fateev.da,0.77303 (6),0.88970 (5),
843142,shkunkov.a,0.00000 (7),0.76798 (7),
