submission_pk,User,recognition rate
486891,catla,0.964000 (1),
493580,komachi,0.958700 (2),
658349,tanxin,0.957300 (3),
493246,blue0620,0.948300 (4),
655376,kin,0.937000 (5),
491414,tangyiping,0.936700 (6),
493386,suzuki.t,0.927700 (7),
493533,takedarts,0.905000 (8),
501285,xiechun,0.899000 (9),
493526,ITakahashi,0.890300 (10),
492221,hrokamo,0.888700 (11),
501152,xiechun2,0.888300 (12),
493585,moriatyyuan,0.870700 (13),
492229,HU_XIAORAN,0.857300 (14),
493504,morimori,0.837000 (15),
492648,takedak,0.832700 (16),
493535,ntuanhung,0.814700 (17),
490977,ItoChihiro,0.813000 (18),
491050,ueki,0.788000 (19),
497509,YukiNiino,0.780000 (20),
493365,h_o_t,0.757700 (21),
483879,sandy2008,0.746700 (22),
491018,mys3_74,0.722300 (23),
513061,wonderful_tonight,0.700700 (24),
491533,YusukeKyokawa,0.667300 (25),
493540,b1016042,0.654000 (26),
500824,takeot,0.637000 (27),
501272,MatchaAzuki,0.607300 (28),
501022,shin,0.600000 (29),
501310,ShotaroNakamura,0.562300 (30),
492109,verlier,0.497000 (31),
495658,owens,0.451300 (32),
501294,sa298ka,0.424700 (33),
500915,soyln,0.383300 (34),
501291,ishikaa,0.372300 (35),
501275,auau,0.358000 (36),
501185,tkd_image,0.358000 (36),
501178,maekawaaa,0.352000 (37),
493491,gotoy,0.347700 (38),
495336,gungkeiji,0.261700 (39),
495326,tttamaki,0.232700 (40),
500451,Nao7823,0.130300 (41),
496128,rayohielo,0.089300 (42),
