submission_pk,User,DER,JER
1104923,flycat,4.7708 (1),22.6105 (2),
1097176,KristonAI,4.9221 (2),23.5583 (3),
1074018,gaoxiang,5.0014 (3),26.7653 (10),
966216,chen2101,5.1455 (4),26.0231 (8),
1104621,xakbz,5.1950 (5),27.1309 (12),
1112721,smc,5.2596 (6),27.6973 (17),
1112723,zzzed,5.3059 (7),28.0696 (21),
965328,njz,5.3162 (8),24.5044 (6),
1094808,curisan,5.3313 (9),26.2254 (9),
996871,qyhong,5.3566 (10),27.2003 (13),
966082,Rhinos,5.3685 (11),25.3637 (7),
968291,strato,5.4180 (12),27.6604 (16),
964339,TK,5.6467 (13),22.2727 (1),
1112720,zedwong,5.6746 (14),31.6087 (31),
1081138,hanzhenlong,5.7516 (15),29.9452 (28),
966197,shengyu,5.9227 (16),29.0434 (22),
966870,dongkeon,5.9672 (17),27.8497 (19),
965351,sgspk,5.9802 (18),29.0719 (23),
965331,fbdp1202,6.0755 (19),27.4140 (15),
965326,ss1010,6.0824 (20),29.0900 (24),
983041,deg,6.1572 (21),29.4689 (25),
983031,chl2,6.1642 (22),28.0158 (20),
982332,SVD,6.1665 (23),27.1239 (11),
1055009,rousju,6.2032 (24),29.7901 (27),
965779,oopsbbada,6.2044 (25),27.8473 (18),
972379,gmh2020,6.3307 (26),29.6677 (26),
972382,fxi,6.4875 (27),27.3182 (14),
964024,KyeongWan_Park,7.6228 (28),23.7574 (5),
961975,lbjcom,8.7238 (29),31.3749 (30),
962651,YannisTevissen,9.2931 (30),34.5082 (32),
964961,GREAT_SHU,9.6446 (31),30.1059 (29),
960461,Mintcat,12.3043 (32),23.6005 (4),
951031,vgg_oxford,17.9946 (33),38.7221 (33),
964242,speaker_voice,39.5612 (34),74.4994 (34),
965689,sst_ai,40.7665 (35),79.3344 (36),
989966,scalfs,45.0471 (36),77.5851 (35),
963125,ynona_olga,100.0000 (37),100.0000 (37),
