submission_pk,User,EIoU,mIoU
887205,soeaver,49.0900 (1),79.3800 (2),
887045,DeepBlueAI,47.1000 (2),78.7600 (3),
887239,DISL,45.3300 (3),78.6800 (4),
885151,lingor,44.9600 (4),80.1600 (1),
883484,hzcxq,44.5000 (5),77.8300 (5),
877178,wenhuihan,43.4800 (6),74.4200 (6),
880492,xiaozhazha,39.7000 (7),69.9600 (7),
868864,SolarBing,30.8400 (8),59.6400 (9),
883279,LawrenceK,22.2800 (9),68.8000 (8),
