submission_pk,User,score,operational cost,attention cost,Computation time
961207,xd_silly,-19.18 (1),2.60 (1),-70.00 (1),9.40 (5),
961194,icarusw,-27.85 (2),0.00 (2),-92.83 (2),0.96 (4),
961193,realcy,-27.85 (2),0.00 (2),-92.83 (2),0.90 (3),
961192,PeterDykas,-60.00 (3),0.00 (2),-200.00 (4),0.67 (2),
961191,cmcm,-60.00 (3),0.00 (2),-200.00 (4),0.66 (1),
961208,demondemo,-78.08 (4),-35.76 (3),-176.83 (3),91.23 (6),
