submission_pk;User;Score
296271;Russian_Data_Mafia;0.006812 (1)
297541;Cantab;0.007881 (2)
296351;DataNinja;0.009069 (3)
298331;Jonquille;0.010724 (4)
298461;MVA2016;0.011206 (5)
298551;Melting;0.011741 (6)
298271;Brosio2BeWild;0.013750 (7)
297421;lexis_army;0.023230 (8)
296581;rohannaidu;0.027345 (9)
292401;We_just_want_our_name_to_be;0.050217 (10)
292241;MAtrixReloaded;0.051562 (11)
297111;CUTM;0.061460 (12)
288511;ml_noobs;0.067503 (13)
298561;devenish;0.074827 (14)
298151;Frequentists_ISIKolkata;0.100554 (15)
294431;team0x4d2;0.105521 (16)
298371;three-d-universum-nerds;0.153310 (17)
291261;DSG_PolytechNique;0.156064 (18)
297261;teamtabs;0.324235 (19)
298341;PondHoppers;0.839809 (20)
