submission_pk,User,MinDCF,EER
837826,AliciaLD,0.0368 (1),1.41 (2),
837797,NeteaseHZAILab,0.0406 (2),1.36 (1),
837406,hanbing97,0.0473 (3),1.44 (3),
837682,ieppt,0.0500 (4),1.57 (5),
837211,xiaolinlin,0.0515 (5),1.60 (6),
835419,YinSpirit,0.0546 (6),1.46 (4),
834763,GREAT,0.0681 (7),1.91 (7),
1120524,xmuliuyan,0.0734 (8),2.19 (9),
836364,IntelligentMediaComputing,0.0741 (9),2.19 (10),
837491,sahid,0.0792 (10),2.16 (8),
822780,ee17resch01003,0.0961 (11),2.80 (11),
837474,EureScribe,0.1296 (12),3.46 (12),
770785,sdsvc2,0.1468 (13),3.50 (13),
769195,sdsvc,0.5292 (14),9.04 (14),
