submission_pk,User,muPSNR,PSNR,Runtime per image [ms],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
909270,neptuneai,34.67 (1),31.67 (1),-1.00 (1),0.00 (2),0.00 (2),
909715,Densen,33.47 (2),30.52 (4),0.04 (2),0.00 (2),0.00 (2),
905618,xiongyineng,33.41 (3),31.08 (2),-1.00 (1),0.00 (2),0.00 (2),
910920,hrishikeshps,32.68 (4),30.73 (3),-1.00 (1),-1.00 (1),-1.00 (1),
826237,noahtcv,31.55 (5),30.49 (5),0.13 (3),0.00 (2),0.00 (2),
901631,akhilkashok,30.57 (6),30.00 (6),-1.00 (1),-1.00 (1),-1.00 (1),
903546,orboai,11.92 (7),22.53 (7),0.40 (4),0.00 (2),0.00 (2),
