submission_pk,User,score
720515,zhuangyan,0.7296 (1),
720772,CGYR,0.7290 (2),
720721,arighosh,0.7267 (3),
720626,TAL_ML_Group,0.7235 (4),
717131,ayistar,0.7224 (5),
711922,haoyang,0.7215 (6),
718507,shshen,0.7015 (7),
720610,tenshow,0.6994 (8),
711923,ml4edu.sb,0.6871 (9),
720613,jilljenn,0.6838 (10),
684367,myaunraitau,0.6412 (11),
652335,simonwoodhead,0.6412 (11),
652205,anlam,0.6412 (11),
718622,son520804,0.6365 (12),
717731,JULIA-KGKQ,0.6365 (12),
717723,ZhuoranRen,0.6365 (12),
717674,_Schwarzer_,0.6365 (12),
717657,xiaowangshu,0.6365 (12),
717649,PKUer,0.6365 (12),
717500,PENNYGOFORIT,0.6365 (12),
717467,DaisyLab,0.6365 (12),
717465,junoq0420,0.6365 (12),
717334,st---,0.6365 (12),
717529,candice1996,0.6340 (13),
711792,moonlightlane,0.5068 (14),
718200,w-w,0.4556 (15),
