submission_pk,User,IoU
630109,linrjing,0.138194 (1),
625991,shivgarg,0.131884 (2),
576960,qwang,0.103250 (3),
575934,hildekuehne,0.096183 (4),
575953,zyc321654,0.067055 (5),
