submission_pk,User,<Rank>,Set 1,Set 2,Set 3,Set 4,Set 5,Duration
101121,ideal.intel.analytics,2.00 (1),0.3745 (4),0.9804 (1),0.3516 (2),0.5136 (1),0.3697 (2),2.01 (139),
101341,djajetic,2.20 (2),0.3911 (2),0.9779 (2),0.3351 (4),0.4928 (2),0.3740 (1),2.01 (148),
102981,aad_freiburg,3.20 (3),0.3836 (3),0.9561 (4),0.3714 (1),0.4368 (4),0.3405 (4),11.05 (26),
102651,reference,6.00 (4),0.3407 (8),0.6670 (8),0.3403 (3),0.4124 (6),0.2848 (5),2.03 (68),
102811,asml.intel.com,8.40 (5),0.3913 (1),0.9746 (3),0.3327 (32),0.4849 (3),0.3420 (3),5.03 (29),
101271,Sergey,9.20 (6),0.3363 (10),0.6670 (10),0.3344 (6),0.4042 (10),0.2819 (10),2.01 (142),
100071,wwwmurphy,9.60 (7),0.3379 (9),0.6670 (9),0.3343 (16),0.4050 (7),0.2821 (7),2.03 (71),
99661,alexandern,13.20 (8),0.3350 (19),0.6670 (11),0.3343 (13),0.4031 (17),0.2821 (6),2.02 (122),
99951,kuz,15.40 (9),0.3353 (17),0.6670 (13),0.3342 (26),0.4046 (8),0.2817 (13),4.43 (30),
99871,janne.peltola,15.60 (10),0.3358 (15),0.6669 (20),0.3342 (21),0.4040 (11),0.2818 (11),2.87 (38),
100521,vijaymanikandan,17.00 (11),0.3363 (10),0.6668 (35),0.3344 (11),0.4035 (14),0.2816 (15),2.02 (82),
100631,e_sha,17.20 (12),0.3361 (11),0.6669 (18),0.3341 (31),0.4040 (12),0.2817 (14),3.36 (36),
99711,iroshani,18.20 (13),0.3353 (17),0.6668 (32),0.3343 (19),0.4034 (15),0.2820 (8),2.81 (41),
101141,bsd.conqueror,18.20 (13),0.3349 (20),0.6670 (12),0.3342 (24),0.4007 (26),0.2820 (9),2.03 (65),
100131,kazeevn,19.00 (14),0.3359 (14),0.6668 (27),0.3344 (10),0.4016 (24),0.2815 (20),1.01 (151),
100351,maxlikely,19.00 (14),0.3363 (10),0.6669 (18),0.3342 (27),0.4016 (23),0.2815 (17),2.02 (102),
100961,myazdani,19.00 (14),0.3361 (13),0.6668 (38),0.3344 (7),0.4038 (13),0.2815 (24),2.02 (115),
100121,meyou,19.80 (15),0.3363 (10),0.6668 (28),0.3343 (15),0.3989 (31),0.2816 (15),2.02 (111),
101281,akolesnikov,19.80 (15),0.3343 (22),0.6669 (20),0.3342 (27),0.4030 (18),0.2818 (12),2.03 (60),
99691,skyfallen,20.20 (16),0.3361 (11),0.6668 (36),0.3344 (5),0.4025 (20),0.2814 (29),2.01 (138),
99611,ka_vlad,20.60 (17),0.3315 (27),0.6669 (21),0.3342 (22),0.4035 (14),0.2815 (19),2.02 (116),
100211,drsharp,21.40 (18),0.3358 (15),0.6668 (27),0.3343 (20),0.4018 (22),0.2815 (23),2.02 (76),
100221,yanina_anastasia,22.00 (19),0.3358 (15),0.6668 (31),0.3289 (37),0.4034 (16),0.2818 (11),2.54 (48),
