submission_pk,User,Prediction score
1112695,huangzixuan0508,0.8507 (1),
1113122,Young_Ji,0.8362 (2),
1113101,lv.zf,0.8333 (3),
1112866,jiliushi,0.8299 (4),
1112917,_likyoo,0.8289 (5),
