submission_pk,User,Loss
981760,Ajoo,0.918 (1),
981759,TeamQ,16.121 (2),
981755,jmunozb,29.539 (3),
981757,KunWu,30.402 (4),
981754,huangsiy,48.986 (5),
981753,bkleiner,54.760 (6),
981751,eslopezag,58.911 (7),
981381,___starter-kit-baseline___,67.156 (8),
981750,xuzhiyuan1528,67.166 (9),
981742,shaurya23,76.997 (10),
981749,alse426,96.140 (11),
981740,___zero-baseline___,100.000 (12),
