submission_pk,User,mAP,Rank-1,Rank-5,Rank-10,Rank-20,Rank-50
657855,PIO,82.39 (2),89.66 (1),93.63 (1),94.69 (1),96.02 (1),98.41 (2),
652317,Xiangyu,81.20 (3),89.39 (2),92.57 (2),94.69 (1),96.02 (1),97.61 (4),
659514,Anton.S,77.27 (5),86.74 (3),91.25 (3),93.37 (2),96.02 (1),97.88 (3),
658725,EN,83.76 (1),86.74 (3),88.59 (5),90.72 (4),92.84 (4),96.55 (6),
646204,whoiswho,78.22 (4),84.35 (4),90.45 (4),92.57 (3),95.49 (2),98.94 (1),
656670,matchaisyums,72.82 (10),83.29 (5),87.27 (9),89.12 (8),90.98 (9),95.23 (11),
651535,Dejun,73.34 (8),83.29 (5),88.33 (6),90.45 (5),93.10 (3),96.29 (7),
649846,YICHENG,73.24 (9),82.76 (6),88.33 (6),90.45 (5),92.84 (4),96.29 (7),
655869,THU-MIG,72.34 (11),82.49 (7),87.80 (8),89.12 (8),92.57 (5),96.55 (6),
631681,yxge,73.59 (7),81.43 (8),88.06 (7),90.19 (6),92.57 (5),97.35 (5),
647108,zhikang,71.31 (12),81.17 (9),86.21 (11),89.39 (7),91.51 (8),94.43 (13),
644164,xiaobaixiaobai,70.87 (13),81.17 (9),86.47 (10),89.12 (8),92.04 (7),95.23 (11),
640340,SikaStar,70.17 (15),80.11 (10),85.41 (12),87.27 (10),90.72 (10),96.02 (8),
643420,username,74.32 (6),79.84 (11),86.47 (10),89.39 (7),92.31 (6),96.55 (6),
655880,MollyW,66.82 (16),74.80 (12),82.49 (15),84.88 (13),90.19 (11),94.96 (12),
631724,May_112,70.29 (14),72.15 (13),83.02 (14),87.80 (9),89.39 (13),90.19 (22),
659631,SigMe,61.81 (21),71.62 (14),76.66 (21),79.58 (19),85.41 (20),89.12 (26),
649646,kakakukuka,63.67 (20),71.35 (15),77.45 (19),79.31 (20),82.49 (25),87.00 (31),
659508,MZH,61.53 (22),71.09 (16),76.66 (21),78.51 (22),83.82 (23),88.59 (27),
633789,vimar,65.57 (18),70.82 (17),81.43 (16),85.94 (11),89.92 (12),94.43 (13),
656303,baoqianyue,54.30 (31),70.03 (18),84.08 (13),89.12 (8),92.31 (6),96.02 (8),
659564,Msingh,56.50 (27),69.23 (19),75.86 (22),79.05 (21),82.23 (26),89.12 (26),
659280,vimar,64.34 (19),67.64 (20),77.19 (20),77.98 (24),79.05 (31),80.11 (34),
659265,jjj123,65.65 (17),67.37 (21),77.72 (18),80.37 (17),84.62 (21),89.92 (23),
655993,tgyyyds,58.66 (24),66.31 (22),77.72 (18),81.43 (15),85.68 (19),90.98 (20),
646253,gglee,56.81 (26),65.25 (23),79.05 (17),85.15 (12),88.86 (14),95.49 (10),
649268,TTT1,59.14 (23),64.99 (24),75.33 (23),80.64 (16),86.21 (18),90.98 (20),
635201,dat,53.83 (32),64.19 (25),72.68 (27),76.39 (26),80.64 (29),89.66 (24),
624642,zhikang,46.58 (39),63.66 (26),79.05 (17),85.94 (11),90.98 (9),95.76 (9),
640691,madamada,53.78 (33),63.13 (27),72.94 (26),77.72 (25),81.43 (28),89.39 (25),
640382,xmh,57.47 (25),62.86 (28),74.54 (24),79.58 (19),84.62 (21),91.51 (18),
653350,anubhap93,53.69 (34),59.95 (29),72.41 (28),79.58 (19),84.35 (22),91.25 (19),
629256,thor,55.82 (28),59.95 (29),72.94 (26),76.39 (26),83.55 (24),88.06 (29),
631601,use,52.10 (35),58.89 (30),71.35 (29),78.25 (23),86.47 (17),92.04 (17),
657360,darcy,55.38 (29),58.36 (31),70.29 (30),74.54 (28),78.51 (32),87.53 (30),
619775,gregoryfh,54.43 (30),58.09 (32),70.29 (30),78.51 (22),83.55 (24),92.04 (17),
622527,Jiteam,47.18 (38),57.82 (33),74.27 (25),81.96 (14),87.27 (15),94.43 (13),
641199,Arulkumar,41.37 (41),57.03 (34),74.27 (25),80.11 (18),86.21 (18),93.63 (15),
632580,Wesley,41.23 (42),55.44 (35),74.27 (25),79.58 (19),87.27 (15),93.10 (16),
621172,ZoeyBai,48.54 (36),52.79 (36),62.33 (35),66.84 (31),74.54 (34),85.41 (33),
651459,guaguagua,39.33 (44),51.99 (37),70.03 (31),78.25 (23),86.74 (16),93.90 (14),
620093,SikaStar,44.91 (40),49.87 (38),60.21 (36),66.58 (32),72.41 (35),79.58 (35),
656968,shuxj,47.88 (37),49.34 (39),63.13 (34),72.15 (30),79.58 (30),88.59 (27),
619631,hyemin,40.18 (43),48.01 (40),68.17 (32),74.01 (29),81.96 (27),90.45 (21),
642555,baoqianyue,36.88 (45),45.89 (41),67.11 (33),75.60 (27),81.43 (28),88.33 (28),
627241,sokazaki,28.49 (46),33.69 (42),55.70 (37),65.25 (33),75.86 (33),85.94 (32),
624740,ericwang,28.49 (46),33.69 (42),55.70 (37),65.25 (33),75.86 (33),85.94 (32),
619693,weijian,28.49 (46),33.69 (42),55.70 (37),65.25 (33),75.86 (33),85.94 (32),
639516,madamada,24.26 (47),28.65 (43),43.50 (38),51.19 (34),61.54 (36),75.07 (36),
632040,Maneet,16.03 (48),19.36 (44),34.75 (39),43.24 (35),51.46 (37),64.99 (37),
656149,yishi,2.82 (49),0.80 (45),3.45 (40),7.16 (36),12.20 (38),24.93 (39),
622295,akshat28101997,2.40 (50),0.80 (45),3.18 (41),6.90 (37),11.67 (39),25.73 (38),
635023,akashdeepjassal,2.37 (51),0.27 (46),3.18 (41),5.04 (39),10.34 (41),24.14 (40),
629580,ms18,1.90 (52),0.27 (46),2.39 (42),5.57 (38),10.61 (40),22.28 (41),
638018,JackY,- (53),- (47),- (43),- (40),- (42),- (42),
