submission_pk,User,Mean-Average-Precision,Average-Precision,R-Precision,Reciprical-Rank,Precision@3,Precision@5,Precision@10
876998,EvanUp,0.658 (1),0.658 (1),0.599 (3),1.000 (1),1.000 (1),1.000 (1),1.000 (1),
879187,maramhasanain,0.615 (2),0.615 (2),0.579 (4),0.500 (2),0.667 (2),0.600 (2),0.600 (4),
879182,Saud,0.612 (3),0.612 (3),0.599 (3),1.000 (1),1.000 (1),1.000 (1),1.000 (1),
875037,Oumaymaa,0.597 (4),0.597 (4),0.624 (1),0.333 (3),0.333 (3),0.400 (3),0.400 (6),
878255,QMUL-SDS,0.597 (5),0.597 (5),0.603 (2),0.500 (2),0.667 (2),0.600 (2),0.700 (3),
876992,msaidzengin,0.575 (6),0.575 (6),0.574 (5),0.333 (3),0.333 (3),0.400 (3),0.400 (6),
877022,_ahmadhussein,0.571 (7),0.571 (7),0.558 (6),0.500 (2),0.667 (2),0.600 (2),0.800 (2),
877038,ibaris,0.548 (8),0.548 (8),0.550 (7),1.000 (1),0.667 (2),0.600 (2),0.500 (5),
