submission_pk,User,Pearson,Spearman,MAE,MSE,R2
848380,rupayan178,0.9253 (1),0.8915 (1),0.0349 (37),0.0028 (37),0.8542 (1),
774902,abdelkader,0.8511 (2),0.7874 (2),0.0726 (10),0.0078 (12),0.5867 (26),
770813,amsqr,0.8409 (3),0.7775 (4),0.0594 (35),0.0057 (36),0.6990 (2),
774997,qusaibanyismail,0.8340 (4),0.7679 (6),0.0601 (34),0.0058 (35),0.6955 (3),
780106,sasi,0.8326 (5),0.7634 (8),0.0605 (33),0.0060 (31),0.6803 (7),
773868,neilrs,0.8308 (6),0.7572 (14),0.0623 (29),0.0065 (26),0.6569 (12),
771897,csecudsg,0.8301 (7),0.7733 (5),0.0609 (32),0.0059 (34),0.6890 (4),
772681,ess,0.8294 (8),0.7606 (10),0.0618 (31),0.0059 (33),0.6864 (5),
765683,armand.rotaru,0.8292 (9),0.7780 (3),0.0592 (36),0.0059 (32),0.6856 (6),
810434,tuqa,0.8274 (10),0.7580 (13),0.0653 (19),0.0071 (19),0.6240 (19),
765449,ochadai,0.8220 (11),0.7606 (11),0.0621 (30),0.0062 (30),0.6703 (8),
766784,raksha297,0.8194 (12),0.7478 (16),0.0624 (27),0.0063 (28),0.6681 (10),
765949,qnamqj,0.8187 (13),0.7542 (15),0.0623 (28),0.0063 (29),0.6689 (9),
770091,ChangjieLi,0.8126 (14),0.7403 (17),0.0626 (26),0.0066 (25),0.6510 (13),
767751,_rjflynn,0.8125 (15),0.7375 (18),0.0627 (25),0.0064 (27),0.6587 (11),
774261,ethanchi,0.8040 (16),0.7217 (24),0.0657 (18),0.0072 (18),0.6210 (20),
855044,SD1226,0.8034 (17),0.7589 (12),0.0645 (22),0.0068 (23),0.6412 (15),
774977,snisioi,0.8029 (18),0.7666 (7),0.0633 (24),0.0068 (24),0.6413 (14),
766053,justglowing,0.8003 (19),0.7254 (22),0.0643 (23),0.0069 (21),0.6333 (17),
763777,zz,0.8000 (20),0.7343 (21),0.0659 (17),0.0068 (22),0.6399 (16),
852475,vasuxyz,0.7986 (21),0.7607 (9),0.0647 (21),0.0069 (20),0.6331 (18),
855317,ravi_ghadia,0.7963 (22),0.7254 (23),0.0728 (9),0.0089 (9),0.5312 (29),
759232,sparshag,0.7911 (23),0.7358 (19),0.0648 (20),0.0075 (16),0.6054 (22),
776351,lokeshreddy,0.7835 (24),0.7071 (29),0.0665 (16),0.0073 (17),0.6121 (21),
847270,vipray,0.7799 (25),0.7108 (27),0.0670 (15),0.0077 (15),0.5937 (23),
767214,krivas,0.7764 (26),0.7354 (20),0.0689 (13),0.0078 (13),0.5875 (25),
759341,nomemm,0.7700 (27),0.7204 (25),0.0682 (14),0.0077 (14),0.5928 (24),
782798,smihaylova,0.7604 (28),0.7157 (26),0.0709 (12),0.0082 (11),0.5669 (27),
776175,yufeiZhang_BLCU,0.7511 (29),0.7103 (28),0.1061 (2),0.0161 (2),0.1458 (36),
852667,iitkgp_cs60075_team4,0.7505 (30),0.6927 (30),0.0711 (11),0.0084 (10),0.5569 (28),
848475,nlp_singh,0.7505 (30),0.6927 (30),0.0711 (11),0.0084 (10),0.5569 (28),
769062,projectlin513,0.7303 (31),0.6906 (31),0.0732 (8),0.0089 (8),0.5312 (30),
852657,cs60075_team12,0.7240 (32),0.6597 (34),0.0784 (6),0.0099 (6),0.4753 (32),
774843,leonwetzel,0.7209 (33),0.6385 (35),0.0800 (5),0.0103 (5),0.4572 (33),
764730,pvf,0.7189 (34),0.6819 (32),0.0812 (4),0.0128 (4),0.3221 (34),
807338,Otniel,0.6930 (35),0.6698 (33),0.0746 (7),0.0099 (7),0.4763 (31),
739704,mattshardlow,0.5376 (36),0.5251 (36),0.0867 (3),0.0135 (3),0.2864 (35),
733367,in6087,-0.0757 (37),-0.0731 (37),0.3141 (1),0.1485 (1),-6.8613 (37),
